,geneId,uniqueDiseases,uniqueTherapeuticAreas,maxEQTLColoc,maxPQTLColoc,maxVEP,maxDistanceTSS,minEffectiveSampleSize,maxEffectiveSampleSize,earliestPublicationDate,cancerOrBenignTumor,infectiousDisease,pregnancyOrPerinatalDisease,disorderOfVisualSystem,cardiovascularDisease,pancreasDisease,gastrointestinalDisease,reproductiveSystemOrBreastDisease,integumentarySystemDisease,endocrineSystemDisease,respiratoryOrThoracicDisease,urinarySystemDisease,musculoskeletalOrConnectiveTissueDisease,disorderOfEar,immuneSystemDisease,hematologicDisease,nervousSystemDisease,psychiatricDisorder,nutritionalOrMetabolicDisease,geneticFamilialOrCongenitalDisease,injuryPoisoningOrOtherComplication,signOrSymptom,other,totalStudies,lofConstraint,misConstraint,synConstraint,pathwayCount,tissueSpecificity,tissueDistribution,chromosome,start,end,approvedSymbol
0,ENSG00000173064,16,7,0,0,0,1,4070.0998003992017,269829.0934099178,2011-06-05,4,0,0,0,7,0,0,0,0,5,1,0,6,0,0,0,0,0,0,3,0,0,9,35,0.708,8.633,2.7818,0,0.5,-1.0,12,112160188,112382439,HECTD4
1,ENSG00000092621,11,6,1,0,0,1,1493.7220461747397,384314.83364002535,2017-02-27,0,0,0,3,0,1,0,0,0,0,0,0,8,0,1,0,7,0,0,0,0,0,2,22,-0.15499997,1.2168,0.87663,1,-1.0,-1.0,1,119648411,119744218,PHGDH
2,ENSG00000169184,6,5,0,0,1,1,3624.878124194795,598869.4096893278,2015-08-24,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,7,0.518,-2.2255,-3.8415,0,0.5,0.0,22,27748277,27801756,MN1
3,ENSG00000163634,13,5,1,0,0,1,33670.70607708678,633132.2332759313,2014-07-22,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,13,0.13200003,1.2914,0.060367,3,-1.0,-1.0,3,63833870,63863868,THOC7
4,ENSG00000164938,5,4,1,0,0,1,7794.273577144567,1424218.0900670097,2010-06-27,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,16,0.09899998,0.69623,0.46275,2,0.5,-1.0,8,94925972,94949378,TP53INP1
5,ENSG00000168959,11,4,0,0,0,1,2271.2278340632697,1122672.658801146,2018-04-16,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,22,0.57,3.3113,-1.6021,3,1.0,0.5,11,88504576,89065982,GRM5
6,ENSG00000171700,5,4,1,0,0,1,143209.11815732162,804063.9714459113,2020-10-05,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0.21399999,0.90467,-0.29177,3,0.5,0.0,20,64073181,64079988,RGS19
7,ENSG00000181264,5,4,1,0,0,1,35617.65636301977,355399.3529808118,2018-08-13,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,-0.049999952,0.62626,0.68717,0,0.5,0.0,11,120325296,120333686,TLCD5
8,ENSG00000100890,4,3,1,0,0,1,76062.08958444146,233499.4066209918,2021-08-26,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0.0009999871,1.1135,1.0094,3,-1.0,-1.0,14,35121846,35277622,PRORP
9,ENSG00000113389,7,3,1,0,0,1,12542.479619943082,448058.917711015,2018-08-13,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0.07999998,0.5766,0.0078059,0,0.5,0.0,5,32689070,32791724,NPR3
10,ENSG00000156510,4,3,1,0,0,1,11231.262381898725,77053.54729989004,2023-01-18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0.195,0.52093,0.73711,1,0.5,0.0,10,69220332,69267552,HKDC1
11,ENSG00000107186,4,3,1,0,0,1,7794.273577144567,180089.50342935527,2021-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,-0.13800001,-4.4177,-2.8744,0,0.5,0.0,9,13105706,13279692,MPDZ
12,ENSG00000104936,4,3,1,0,0,1,21724.94108458234,782476.8109259979,2021-09-30,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0.32999998,-0.55874,-2.6092,1,-1.0,-1.0,19,45769709,45782552,DMPK
13,ENSG00000145335,6,3,1,1,0,1,606.6666666666666,1778690.168860174,2009-11-15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,32,0,0,0,39,0.30900002,1.1478,-0.67771,2,0.75,-1.0,4,89700345,89838315,SNCA
14,ENSG00000067141,3,2,1,1,0,1,141293.18354755783,341207.7500533011,2019-06-24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.505,2.1628,0.96086,2,-1.0,-1.0,15,73051710,73305205,NEO1
15,ENSG00000123411,2,2,1,0,0,1,1505.218309859155,125132.86186732909,2008-01-15,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.60800004,3.0512,0.2048,0,-1.0,-1.0,12,56007659,56038435,IKZF4
16,ENSG00000162402,4,2,1,0,0,1,6697.381489027931,221604.72575627107,2023-01-18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0.639,4.1357,-0.81845,1,-1.0,-1.0,1,55066359,55215378,USP24
17,ENSG00000184185,2,2,1,0,0,1,72982.48880358285,1424218.0900670097,2020-06-15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.63100004,4.2814,1.2917,4,0.75,0.0,17,21376357,21419870,KCNJ12
18,ENSG00000007392,3,2,0,0,0,0,48276.34365519406,575147.0632428399,2024-07-19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.17900002,1.7311,0.14107,0,-1.0,-1.0,16,188969,229463,LUC7L
19,ENSG00000111339,4,2,1,0,1,1,34084.683440731395,183427.12489668437,2021-08-24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0.10500002,0.44443,0.18971,1,0.5,0.0,12,14825569,14843526,ART4
20,ENSG00000122966,3,2,0,0,0,1,634722.4486407059,645988.1975077938,2022-10-12,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.647,5.1795,1.1516,5,0.5,0.0,12,119685791,119877320,CIT
21,ENSG00000127318,3,2,0,1,0,1,41398.32424291887,233499.4066209918,2021-08-26,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,-0.52900004,0.12619,-0.33715,2,0.5,1.0,12,68248242,68253604,IL22
22,ENSG00000139323,3,2,1,0,0,1,171880.2916512608,502231.5406594711,2022-04-08,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0.032999992,0.31956,0.54236,0,-1.0,-1.0,12,89419718,89526047,POC1B
23,ENSG00000164109,5,2,0,0,0,1,52463.65429696694,394357.452283155,2017-07-17,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0.31599998,1.488,0.17856,11,0.5,0.5,4,120055623,120066858,MAD2L1
24,ENSG00000164736,6,2,0,0,0,1,5048.920570264766,464892.4593283075,2008-11-09,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0.38599998,-1.5376,-3.2133,4,0.5,0.0,8,54457935,54460892,SOX17
25,ENSG00000197020,2,2,1,0,1,1,130268.25219927442,718784.6890415357,2020-05-06,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.32099998,-0.38158,-0.47643,1,-1.0,-1.0,19,21722771,21767579,ZNF100
