minAbsEstimatedBetaInBucker,maxAbsEstimatedBetaInBucker,stdAbsEstimatedBetaInBucker,nVariantsInBucket,avgAbsEstimatedBetaInBucket,avgAbsEstimatedBetaInBucketStderr,avgAbsEstimatedBetaInBucketCILower,avgAbsEstimatedBetaInBucketCIUpper,studyType,mafBinRange,mafBinLower,mafBinUpper,mafBinMidpoint,mafBinIndex,totals_label
0.36196800726591827,2.0280472838200483,0.5264356487256349,16,1.015569241950798,0.13160891218140872,0.757615774075237,1.273522709826359,cis-pqtl,0.0-0.01,0.0,0.01,0.005,0,"cis-pqtl N=(1,270)"
0.11075355830790234,1.489421063582634,0.38624851836810764,226,0.6699681119526771,0.02569286925812024,0.6196100882067614,0.7203261356985928,cis-pqtl,0.01-0.05,0.01,0.05,0.03,1,"cis-pqtl N=(1,270)"
0.07325313747787066,2.091797136698118,0.2695613758417206,151,0.435049786004954,0.021936593659046703,0.39205406243322244,0.4780455095766855,cis-pqtl,0.05-0.1,0.05,0.1,0.075,2,"cis-pqtl N=(1,270)"
0.07326338683536544,1.5048850597417907,0.2648078599022063,232,0.4069073896105728,0.017385487738487932,0.3728318336431365,0.44098294557800916,cis-pqtl,0.1-0.2,0.1,0.2,0.15,3,"cis-pqtl N=(1,270)"
0.04162562875785743,1.1179369369709367,0.22382928862962687,205,0.33211079279520705,0.015632915625948457,0.3014702781683481,0.362751307422066,cis-pqtl,0.2-0.3,0.2,0.3,0.25,4,"cis-pqtl N=(1,270)"
0.042376915486384927,1.0079521485240523,0.1924818259041677,213,0.28250385156560087,0.013188637395652424,0.25665412227012213,0.3083535808610796,cis-pqtl,0.3-0.4,0.3,0.4,0.35,5,"cis-pqtl N=(1,270)"
0.036632908832091096,0.9410191802727439,0.19464870023902323,227,0.26883326441901473,0.012919287992127475,0.24351145995444487,0.29415506888358456,cis-pqtl,0.4-0.5,0.4,0.5,0.45,6,"cis-pqtl N=(1,270)"
1.0424449453256146,2.9987823674949308,0.4160795686129638,566,2.4390471448192126,0.01748912874936673,2.404768452470454,2.4733258371679714,eqtl,0.0-0.01,0.0,0.01,0.005,0,"eqtl N=(83,626)"
0.47968119041984003,2.9997936995577867,0.5703089770708116,6896,1.723683120690953,0.006867704200194856,1.7102224204585712,1.737143820923335,eqtl,0.01-0.05,0.01,0.05,0.03,1,"eqtl N=(83,626)"
0.33461075027681636,2.997831190134784,0.4671876314981922,7589,1.259013939330077,0.005362892112455924,1.2485026707896634,1.2695252078704906,eqtl,0.05-0.1,0.05,0.1,0.075,2,"eqtl N=(83,626)"
0.25918825760450837,2.960271266678884,0.39128912241885216,16004,1.0284169552572937,0.0030930255222010325,1.0223546252337796,1.0344792852808078,eqtl,0.1-0.2,0.1,0.2,0.15,3,"eqtl N=(83,626)"
0.20947459592919626,2.252561545208126,0.3438196050393937,16946,0.8975074863011284,0.002641174137899848,0.8923307849908447,0.9026841876114121,eqtl,0.2-0.3,0.2,0.3,0.25,4,"eqtl N=(83,626)"
0.19855487708544187,2.20556999762104,0.3218401079149248,17482,0.8297605434104953,0.00243413469839553,0.82498963940164,0.8345314474193506,eqtl,0.3-0.4,0.3,0.4,0.35,5,"eqtl N=(83,626)"
0.19019460379184241,2.186370310143101,0.31373227924701036,18143,0.8069584665255871,0.002329188592066086,0.8023932568851376,0.8115236761660366,eqtl,0.4-0.5,0.4,0.5,0.45,6,"eqtl N=(83,626)"
0.08957537458548859,2.9189976577332812,0.5084615318300684,424,0.7827464971523478,0.024693074870953173,0.7343480704052796,0.831144923899416,gwas-disease,0.0-0.01,0.0,0.01,0.005,0,"gwas-disease N=(5,886)"
0.05577225932927922,2.7900930445860688,0.35059598195399067,787,0.38457188618670946,0.01249739706379365,0.3600769879416739,0.409066784431745,gwas-disease,0.01-0.05,0.01,0.05,0.03,1,"gwas-disease N=(5,886)"
0.03595330035829029,2.3268320540425123,0.26527100415999294,556,0.23659385484956538,0.011249996454679776,0.21454386179839302,0.25864384790073774,gwas-disease,0.05-0.1,0.05,0.1,0.075,2,"gwas-disease N=(5,886)"
0.02111331860738858,1.7236953223778386,0.19412305764292567,976,0.17482210140203053,0.00621372765590848,0.1626431951964499,0.18700100760761115,gwas-disease,0.1-0.2,0.1,0.2,0.15,3,"gwas-disease N=(5,886)"
0.021023841512146927,1.8329110031109845,0.17364006932960793,979,0.1453614152657243,0.005549560683161228,0.1344842763267283,0.1562385542047203,gwas-disease,0.2-0.3,0.2,0.3,0.25,4,"gwas-disease N=(5,886)"
0.01655928883357561,1.5753173899837172,0.13708775117721306,1007,0.1202685376974712,0.004320001692185097,0.1118013343807884,0.128735741014154,gwas-disease,0.3-0.4,0.3,0.4,0.35,5,"gwas-disease N=(5,886)"
0.014400077737607554,1.6133481668704381,0.1224484991117676,1157,0.11086929336537403,0.0035998697439611725,0.10381354866721013,0.11792503806353793,gwas-disease,0.4-0.5,0.4,0.5,0.45,6,"gwas-disease N=(5,886)"
0.03456666872939954,2.9990395847218516,0.42710284574201723,3081,0.39669609333739864,0.007694610059421229,0.38161465762093305,0.4117775290538642,gwas-measurement,0.0-0.01,0.0,0.01,0.005,0,"gwas-measurement N=(30,708)"
0.013478878858689152,2.688337631331105,0.18920591255288913,4310,0.13463219996192857,0.002882013883442504,0.12898345275038126,0.1402809471734759,gwas-measurement,0.01-0.05,0.01,0.05,0.03,1,"gwas-measurement N=(30,708)"
0.009490814146849458,2.997138058005446,0.17069905343672898,3021,0.09618787916326965,0.0031056731702667644,0.09010075974954679,0.10227499857699252,gwas-measurement,0.05-0.1,0.05,0.1,0.075,2,"gwas-measurement N=(30,708)"
0.007113047165196973,2.1267421585569424,0.12230648463783472,4902,0.0756588013073853,0.0017468790252734186,0.07223491841784939,0.0790826841969212,gwas-measurement,0.1-0.2,0.1,0.2,0.15,3,"gwas-measurement N=(30,708)"
0.006514657609412851,2.6260645665527944,0.11534678250019789,4957,0.06105740466332952,0.0016383097856116273,0.05784631748353073,0.06426849184312831,gwas-measurement,0.2-0.3,0.2,0.3,0.25,4,"gwas-measurement N=(30,708)"
0.005598079391356803,2.815238601177868,0.14214920525647884,5096,0.06244807870755692,0.001991268053418933,0.058545193322855814,0.06635096409225803,gwas-measurement,0.3-0.4,0.3,0.4,0.35,5,"gwas-measurement N=(30,708)"
0.004912135346307666,2.096804822746435,0.08339272572276853,5341,0.04778561317066386,0.001141082067050082,0.0455490923192457,0.050022134022082027,gwas-measurement,0.4-0.5,0.4,0.5,0.45,6,"gwas-measurement N=(30,708)"
