nAlteringInBucket,nNonAlteringInBucket,nTotalInBucket,alteringProportionInBucket,alteringProportionInBucketStderr,alteringProportionInBucketCILower,alteringProportionInBucketCIUpper,studyType,mafBinRange,mafBinLower,mafBinUpper,mafBinMidpoint,mafBinIndex,totals_label
7,9,16,0.4375,0.12401959270615269,0.19442159829594075,0.6805784017040593,cis-pqtl,0.0-0.01,0.0,0.01,0.005,0,"cis-pqtl N=(1,270)"
64,178,242,0.2644628099173554,0.028351558623761396,0.20889375501478305,0.32003186481992774,cis-pqtl,0.01-0.05,0.01,0.05,0.03,1,"cis-pqtl N=(1,270)"
97,296,393,0.24681933842239187,0.021749180476685597,0.2041909446880881,0.2894477321566956,cis-pqtl,0.05-0.1,0.05,0.1,0.075,2,"cis-pqtl N=(1,270)"
134,491,625,0.2144,0.016416218322134975,0.18222421208861544,0.24657578791138457,cis-pqtl,0.1-0.2,0.1,0.2,0.15,3,"cis-pqtl N=(1,270)"
165,665,830,0.19879518072289157,0.01385273914213552,0.17164381200430595,0.22594654944147718,cis-pqtl,0.2-0.3,0.2,0.3,0.25,4,"cis-pqtl N=(1,270)"
189,854,1043,0.18120805369127516,0.011927059197528013,0.15783101766412025,0.20458508971843006,cis-pqtl,0.3-0.4,0.3,0.4,0.35,5,"cis-pqtl N=(1,270)"
214,1056,1270,0.16850393700787403,0.010503481245950404,0.14791711376581124,0.18909076024993682,cis-pqtl,0.4-0.5,0.4,0.5,0.45,6,"cis-pqtl N=(1,270)"
32,534,566,0.05653710247349823,0.00970780336347081,0.037509807881095446,0.07556439706590101,eqtl,0.0-0.01,0.0,0.01,0.005,0,"eqtl N=(83,626)"
279,7183,7462,0.03738943982846422,0.0021962014189149635,0.03308488504739089,0.041693994609537544,eqtl,0.01-0.05,0.01,0.05,0.03,1,"eqtl N=(83,626)"
545,14506,15051,0.0362102185901269,0.001522734032241609,0.03322565988693335,0.03919477729332045,eqtl,0.05-0.1,0.05,0.1,0.075,2,"eqtl N=(83,626)"
908,30147,31055,0.029238447914989536,0.0009560215332648505,0.027364645709790428,0.031112250120188645,eqtl,0.1-0.2,0.1,0.2,0.15,3,"eqtl N=(83,626)"
1249,46752,48001,0.026020291243932417,0.0007266175592318718,0.024596120827837947,0.027444461660026887,eqtl,0.2-0.3,0.2,0.3,0.25,4,"eqtl N=(83,626)"
1602,63881,65483,0.024464364796970207,0.0006037042834644504,0.023281104401379885,0.02564762519256053,eqtl,0.3-0.4,0.3,0.4,0.35,5,"eqtl N=(83,626)"
1894,81732,83626,0.022648458613349916,0.0005144865958132766,0.021640064885555893,0.02365685234114394,eqtl,0.4-0.5,0.4,0.5,0.45,6,"eqtl N=(83,626)"
105,319,424,0.24764150943396226,0.020962409766191806,0.20655518629222633,0.28872783257569823,gwas-disease,0.0-0.01,0.0,0.01,0.005,0,"gwas-disease N=(5,886)"
349,862,1211,0.28819157720891825,0.013015178588357235,0.26268182717573807,0.3137013272420984,gwas-disease,0.01-0.05,0.01,0.05,0.03,1,"gwas-disease N=(5,886)"
486,1281,1767,0.27504244482173174,0.010622772368581073,0.25422181097931285,0.2958630786641506,gwas-disease,0.05-0.1,0.05,0.1,0.075,2,"gwas-disease N=(5,886)"
591,2152,2743,0.2154575282537368,0.00785011759486441,0.20007129776780255,0.23084375873967103,gwas-disease,0.1-0.2,0.1,0.2,0.15,3,"gwas-disease N=(5,886)"
679,3043,3722,0.18242880171950565,0.0063302565331993105,0.170021498914435,0.1948361045245763,gwas-disease,0.2-0.3,0.2,0.3,0.25,4,"gwas-disease N=(5,886)"
750,3979,4729,0.1585958976527807,0.005312068054172196,0.1481842442666032,0.1690075510389582,gwas-disease,0.3-0.4,0.3,0.4,0.35,5,"gwas-disease N=(5,886)"
802,5084,5886,0.1362555215766225,0.004471565208699092,0.12749125376757228,0.1450197893856727,gwas-disease,0.4-0.5,0.4,0.5,0.45,6,"gwas-disease N=(5,886)"
802,2279,3081,0.2603050957481337,0.007905362681670792,0.24481058489205895,0.27579960660420844,gwas-measurement,0.0-0.01,0.0,0.01,0.005,0,"gwas-measurement N=(30,708)"
1945,5446,7391,0.2631578947368421,0.005122050050741348,0.2531186766373891,0.2731971128362951,gwas-measurement,0.01-0.05,0.01,0.05,0.03,1,"gwas-measurement N=(30,708)"
2457,7955,10412,0.23597771801767192,0.004161227223668057,0.22782171265928253,0.24413372337606132,gwas-measurement,0.05-0.1,0.05,0.1,0.075,2,"gwas-measurement N=(30,708)"
2901,12413,15314,0.18943450437508164,0.0031664984367527293,0.1832281674390463,0.19564084131111698,gwas-measurement,0.1-0.2,0.1,0.2,0.15,3,"gwas-measurement N=(30,708)"
3155,17116,20271,0.15564106358837748,0.00254617388952078,0.15065056276491676,0.1606315644118382,gwas-measurement,0.2-0.3,0.2,0.3,0.25,4,"gwas-measurement N=(30,708)"
3408,21959,25367,0.1343477746678756,0.002141176208173285,0.13015106929985595,0.13854448003589523,gwas-measurement,0.3-0.4,0.3,0.4,0.35,5,"gwas-measurement N=(30,708)"
3783,26925,30708,0.12319265338022665,0.0018755071697678623,0.11951665932748165,0.12686864743297166,gwas-measurement,0.4-0.5,0.4,0.5,0.45,6,"gwas-measurement N=(30,708)"
