studyType,geneId,distanceFromTss,consequenceCategory,consequenceSource,partition,ranking,con,nTotal,nConsequence,pConsequenceValue,pConsequneceLabel
eqtl,ENSG00000120054,-16466,intragenic,vep,"ENSG00000120054,eqtl",4,2,127586,63175,49.51562083614189,49.52%
eqtl,ENSG00000305032,82819,intergenic,vep,"ENSG00000107554,eqtl",6,3,127586,43500,34.09464988321603,34.09%
eqtl,ENSG00000095485,-2112,enhancer,interval,"ENSG00000196072,eqtl",3,1,127586,13050,10.228394964964808,10.23%
eqtl,ENSG00000107554,34,promoter,interval,"ENSG00000107554,eqtl",2,1,127586,6045,4.737980656184848,4.74%
eqtl,ENSG00000120055,-565,protein_altering,vep,"ENSG00000269609,eqtl",1,1,127586,1816,1.4233536594924208,1.42%
gwas-measurement,ENSG00000283232,-9291,intragenic,vep,"EFO_0010934,gwas-measurement",4,2,36641,19190,52.37302475369122,52.37%
gwas-measurement,ENSG00000303041,92842,intergenic,vep,"OBA_2045267,gwas-measurement",6,1,36641,7776,21.222128217024643,21.22%
gwas-measurement,ENSG00000107566,-55169,enhancer,interval,"EFO_0010934,gwas-measurement",3,1,36641,4646,12.679784940367348,12.68%
gwas-measurement,ENSG00000095539,-10799,protein_altering,vep,"EFO_0004532,gwas-measurement",1,1,36641,3742,10.212603367812013,10.21%
gwas-measurement,ENSG00000138107,-413,promoter,interval,"EFO_0004305,gwas-measurement",2,1,36641,1287,3.5124587211047733,3.51%
gwas-disease,ENSG00000107566,-33592,intragenic,vep,"HP_0001392,gwas-disease",4,1,7064,3687,52.1942242355606,52.19%
gwas-disease,ENSG00000227128,18488,intergenic,vep,"EFO_0005423,gwas-disease",6,1,7064,1401,19.832955832389583,19.83%
gwas-disease,ENSG00000148842,-151418,enhancer,interval,"EFO_0001645,gwas-disease",3,3,7064,975,13.80237825594564,13.80%
gwas-disease,ENSG00000165806,-45614,protein_altering,vep,"MONDO_0005129,gwas-disease",1,1,7064,798,11.296715741789354,11.30%
gwas-disease,ENSG00000227128,114,promoter,interval,"EFO_0005423,gwas-disease",2,1,7064,203,2.8737259343148356,2.87%
cis-pqtl,ENSG00000138175,-107,intragenic,vep,"ENSG00000138175,cis-pqtl",4,3,1904,787,41.33403361344538,41.33%
cis-pqtl,ENSG00000305032,82180,intergenic,vep,"ENSG00000107554,cis-pqtl",6,2,1904,481,25.262605042016805,25.26%
cis-pqtl,ENSG00000121898,22224,enhancer,interval,"ENSG00000121898,cis-pqtl",3,1,1904,251,13.182773109243698,13.18%
cis-pqtl,ENSG00000148377,-6089,protein_altering,vep,"ENSG00000148377,cis-pqtl",1,2,1904,212,11.134453781512606,11.13%
cis-pqtl,ENSG00000138175,-105,promoter,interval,"ENSG00000138175,cis-pqtl",2,1,1904,173,9.086134453781511,9.09%
