studyType,geneId,distanceFromTss,consequenceCategory,consequenceSource,partition,ranking,con,nTotal,nConsequence,pConsequenceValue,pConsequneceLabel,avgMaxAbsEstimatedBeta,stdMaxAbsEstimatedBeta,seMaxAbsEstimatedBeta,CILower,CIUpper,statisticLabel
gwas-disease,ENSG00000165806,-45614,protein_altering,vep,"MONDO_0005129,gwas-disease",1,1,798,798,100.0,100.00%,0.3555596663512258,0.4246461556853561,0.015032310961893959,0.32609633686591366,0.385022995836538,protein_altering / N=798 / β̂=0.356±0.029
gwas-disease,ENSG00000227128,18488,intergenic,vep,"EFO_0005423,gwas-disease",6,1,1401,1401,100.0,100.00%,0.20502488881979042,0.2705482313163443,0.007228124617616658,0.19085776456926176,0.21919201307031907,intergenic / N=1401 / β̂=0.205±0.014
gwas-disease,ENSG00000227128,114,promoter,interval,"EFO_0005423,gwas-disease",2,1,203,203,100.0,100.00%,0.2542355866115085,0.3731831554549264,0.026192322749449107,0.2028986340225883,0.30557253920042876,promoter / N=203 / β̂=0.254±0.051
gwas-measurement,ENSG00000283232,-9291,intragenic,vep,"EFO_0010934,gwas-measurement",4,2,19190,19190,100.0,100.00%,0.09445360868450711,0.18635221636297694,0.0013452316448830188,0.0918169546605364,0.09709026270847783,intragenic / N=19190 / β̂=0.094±0.003
gwas-measurement,ENSG00000303041,92842,intergenic,vep,"OBA_2045267,gwas-measurement",6,1,7776,7776,100.0,100.00%,0.09419749291815623,0.1832249919472215,0.00207781360368634,0.090124978254931,0.09827000758138145,intergenic / N=7776 / β̂=0.094±0.004
gwas-measurement,ENSG00000095539,-10799,protein_altering,vep,"EFO_0004532,gwas-measurement",1,1,3742,3742,100.0,100.00%,0.21245963141008561,0.3336523372884813,0.005454340922170245,0.20176912320263193,0.2231501396175393,protein_altering / N=3742 / β̂=0.212±0.011
gwas-disease,ENSG00000148842,-151418,enhancer,interval,"EFO_0001645,gwas-disease",3,3,975,975,100.0,100.00%,0.21831415617084374,0.2868594788156682,0.009186855748848491,0.2003079189031007,0.23632039343858677,enhancer / N=975 / β̂=0.218±0.018
gwas-disease,ENSG00000107566,-33592,intragenic,vep,"HP_0001392,gwas-disease",4,1,3687,3687,100.0,100.00%,0.20543359802867,0.27190970914721874,0.004478041834699452,0.1966566360326591,0.21421056002468092,intragenic / N=3687 / β̂=0.205±0.009
gwas-measurement,ENSG00000107566,-55169,enhancer,interval,"EFO_0010934,gwas-measurement",3,1,4646,4646,100.0,100.00%,0.0948526608157047,0.18232903760858934,0.0026749535001560436,0.08960975195539886,0.10009556967601055,enhancer / N=4646 / β̂=0.095±0.005
gwas-measurement,ENSG00000138107,-413,promoter,interval,"EFO_0004305,gwas-measurement",2,1,1287,1287,100.0,100.00%,0.17123749734676308,0.34710674473800635,0.00967550806355762,0.15227350154219013,0.19020149315133603,promoter / N=1287 / β̂=0.171±0.019
