Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID
MGI:1098434	MGI	MGI:1098434	Rgs5	regulator of G-protein signaling 5	protein coding gene	ENSMUSG00000026678
MGI:2384891	MGI	MGI:2384891	Rhbdl1	rhomboid like 1	protein coding gene	ENSMUSG00000025735
MGI:1202882	MGI	MGI:1202882	Rhd	Rh blood group, D antigen	protein coding gene	ENSMUSG00000028825
MGI:2154952	MGI	MGI:2154952	Ripk3	receptor-interacting serine-threonine kinase 3	protein coding gene	ENSMUSG00000022221
MGI:97930	MGI	MGI:97930	Rlbp1	retinaldehyde binding protein 1	protein coding gene	ENSMUSG00000039194
MGI:1924295	MGI	MGI:1924295	Bcl7a	B cell CLL/lymphoma 7A	protein coding gene	ENSMUSG00000029438
MGI:97919	MGI	MGI:97919	Rnase1	ribonuclease, RNase A family, 1 (pancreatic)	protein coding gene	ENSMUSG00000035896
MGI:1332238	MGI	MGI:1332238	Bcl7b	B cell CLL/lymphoma 7B	protein coding gene	ENSMUSG00000029681
MGI:1859162	MGI	MGI:1859162	Rnf10	ring finger protein 10	protein coding gene	ENSMUSG00000041740
MGI:1346341	MGI	MGI:1346341	Rnf13	ring finger protein 13	protein coding gene	ENSMUSG00000036503
MGI:1925927	MGI	MGI:1925927	Rnf20	ring finger protein 20	protein coding gene	ENSMUSG00000028309
MGI:1860040	MGI	MGI:1860040	Trim3	tripartite motif-containing 3	protein coding gene	ENSMUSG00000036989
MGI:1890659	MGI	MGI:1890659	Trim39	tripartite motif-containing 39	protein coding gene	ENSMUSG00000045409
MGI:1915147	MGI	MGI:1915147	Rnmt	RNA (guanine-7-) methyltransferase	protein coding gene	ENSMUSG00000009535
MGI:1914071	MGI	MGI:1914071	Bcs1l	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone	protein coding gene	ENSMUSG00000026172
MGI:107927	MGI	MGI:107927	Rock1	Rho-associated coiled-coil containing protein kinase 1	protein coding gene	ENSMUSG00000024290
MGI:104661	MGI	MGI:104661	Rora	RAR-related orphan receptor alpha	protein coding gene	ENSMUSG00000032238
MGI:1915525	MGI	MGI:1915525	Rpa1	replication protein A1	protein coding gene	ENSMUSG00000000751
MGI:88144	MGI	MGI:88144	Bdkrb1	bradykinin receptor, beta 1	protein coding gene	ENSMUSG00000041347
MGI:103254	MGI	MGI:103254	Rpia	ribose 5-phosphate isomerase A	protein coding gene	ENSMUSG00000053604
MGI:2151054	MGI	MGI:2151054	Cnnm2	cyclin M2	protein coding gene	ENSMUSG00000064105
MGI:1196612	MGI	MGI:1196612	Mrpl23	mitochondrial ribosomal protein L23	protein coding gene	ENSMUSG00000037772
MGI:98038	MGI	MGI:98038	Rpl32	ribosomal protein L32	protein coding gene	ENSMUSG00000057841
MGI:1891828	MGI	MGI:1891828	Becn1	beclin 1, autophagy related	protein coding gene	ENSMUSG00000035086
MGI:1338017	MGI	MGI:1338017	Bex2	brain expressed X-linked 2	protein coding gene	ENSMUSG00000042750
MGI:105975	MGI	MGI:105975	Cfb	complement factor B	protein coding gene	ENSMUSG00000090231
MGI:1926273	MGI	MGI:1926273	Mrpl12	mitochondrial ribosomal protein L12	protein coding gene	ENSMUSG00000039640
MGI:2137204	MGI	MGI:2137204	Mrpl3	mitochondrial ribosomal protein L3	protein coding gene	ENSMUSG00000032563
MGI:98085	MGI	MGI:98085	Rpn2	ribophorin II	protein coding gene	ENSMUSG00000027642
MGI:98105	MGI	MGI:98105	Rps12	ribosomal protein S12	protein coding gene	ENSMUSG00000061983
MGI:1351628	MGI	MGI:1351628	Rps26	ribosomal protein S26	protein coding gene	ENSMUSG00000025362
MGI:104558	MGI	MGI:104558	Rps6ka1	ribosomal protein S6 kinase polypeptide 1	protein coding gene	ENSMUSG00000003644
MGI:2443419	MGI	MGI:2443419	Rps6kc1	ribosomal protein S6 kinase polypeptide 1	protein coding gene	ENSMUSG00000089872
MGI:88158	MGI	MGI:88158	Bgn	biglycan	protein coding gene	ENSMUSG00000031375
MGI:1930943	MGI	MGI:1930943	Rrad	Ras-related associated with diabetes	protein coding gene	ENSMUSG00000031880
MGI:98179	MGI	MGI:98179	Rras	related RAS viral (r-ras) oncogene	protein coding gene	ENSMUSG00000038387
MGI:98180	MGI	MGI:98180	Rrm1	ribonucleotide reductase M1	protein coding gene	ENSMUSG00000030978
MGI:98181	MGI	MGI:98181	Rrm2	ribonucleotide reductase M2	protein coding gene	ENSMUSG00000020649
MGI:1097714	MGI	MGI:1097714	Bhlhe40	basic helix-loop-helix family, member e40	protein coding gene	ENSMUSG00000030103
MGI:1933947	MGI	MGI:1933947	Rtn1	reticulon 1	protein coding gene	ENSMUSG00000021087
MGI:1339972	MGI	MGI:1339972	Bhmt	betaine-homocysteine methyltransferase	protein coding gene	ENSMUSG00000074768
MGI:102672	MGI	MGI:102672	Runx3	runt related transcription factor 3	protein coding gene	ENSMUSG00000070691
MGI:99659	MGI	MGI:99659	Ryr1	ryanodine receptor 1, skeletal muscle	protein coding gene	ENSMUSG00000030592
MGI:99685	MGI	MGI:99685	Ryr2	ryanodine receptor 2, cardiac	protein coding gene	ENSMUSG00000021313
MGI:1101760	MGI	MGI:1101760	Bicd1	BICD cargo adaptor 1	protein coding gene	ENSMUSG00000003452
MGI:1339467	MGI	MGI:1339467	S100a6	S100 calcium binding protein A6 (calcyclin)	protein coding gene	ENSMUSG00000001025
MGI:98217	MGI	MGI:98217	S100b	S100 protein, beta polypeptide, neural	protein coding gene	ENSMUSG00000033208
MGI:1354724	MGI	MGI:1354724	Sacs	sacsin	protein coding gene	ENSMUSG00000048279
MGI:98227	MGI	MGI:98227	Sag	S-antigen, retina and pineal gland (arrestin)	protein coding gene	ENSMUSG00000056055
MGI:3611448	MGI	MGI:3611448	Bin2	bridging integrator 2	protein coding gene	ENSMUSG00000098112
MGI:1277978	MGI	MGI:1277978	Sap18	Sin3-associated polypeptide 18	protein coding gene	ENSMUSG00000021963
MGI:1913647	MGI	MGI:1913647	Sar1b	secretion associated Ras related GTPase 1B	protein coding gene	ENSMUSG00000020386
MGI:102809	MGI	MGI:102809	Sars1	seryl-tRNA synthetase 1	protein coding gene	ENSMUSG00000068739
MGI:1309453	MGI	MGI:1309453	Sart1	squamous cell carcinoma antigen recognized by T cells 1	protein coding gene	ENSMUSG00000039148
MGI:105084	MGI	MGI:105084	Satb1	special AT-rich sequence binding protein 1	protein coding gene	ENSMUSG00000023927
MGI:1859293	MGI	MGI:1859293	Atxn10	ataxin 10	protein coding gene	ENSMUSG00000016541
MGI:1346518	MGI	MGI:1346518	Scamp2	secretory carrier membrane protein 2	protein coding gene	ENSMUSG00000040188
MGI:2683295	MGI	MGI:2683295	Serpinb3d	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3D	protein coding gene	ENSMUSG00000058017
MGI:103033	MGI	MGI:103033	Scg2	secretogranin II	protein coding gene	ENSMUSG00000050711
MGI:106921	MGI	MGI:106921	Scn2b	sodium channel, voltage-gated, type II, beta	protein coding gene	ENSMUSG00000070304
MGI:98250	MGI	MGI:98250	Scn4a	sodium channel, voltage-gated, type IV, alpha	protein coding gene	ENSMUSG00000001027
MGI:2687406	MGI	MGI:2687406	Scn4b	sodium channel, type IV, beta	protein coding gene	ENSMUSG00000046480
MGI:104696	MGI	MGI:104696	Scnn1b	sodium channel, nonvoltage-gated 1 beta	protein coding gene	ENSMUSG00000030873
MGI:106362	MGI	MGI:106362	Sco1	SCO1 cytochrome c oxidase assembly protein	protein coding gene	ENSMUSG00000069844
MGI:1306779	MGI	MGI:1306779	Ccl22	C-C motif chemokine ligand 22	protein coding gene	ENSMUSG00000031779
MGI:3589281	MGI	MGI:3589281	Ccl26	C-C motif chemokine ligand 26	protein coding gene	ENSMUSG00000070464
MGI:2385271	MGI	MGI:2385271	Blvrb	biliverdin reductase B	protein coding gene	ENSMUSG00000040466
MGI:1097153	MGI	MGI:1097153	Cx3cl1	C-X3-C motif chemokine ligand 1	protein coding gene	ENSMUSG00000031778
MGI:102774	MGI	MGI:102774	Aimp1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	protein coding gene	ENSMUSG00000028029
MGI:1349165	MGI	MGI:1349165	Sdc2	syndecan 2	protein coding gene	ENSMUSG00000022261
MGI:88174	MGI	MGI:88174	Bmi1	Bmi1 polycomb ring finger oncogene	protein coding gene	ENSMUSG00000026739
MGI:1349164	MGI	MGI:1349164	Sdc4	syndecan 4	protein coding gene	ENSMUSG00000017009
MGI:1918305	MGI	MGI:1918305	Nemf	nuclear export mediator factor	protein coding gene	ENSMUSG00000020982
MGI:1914535	MGI	MGI:1914535	Cwc27	CWC27 spliceosome-associated protein	protein coding gene	ENSMUSG00000021715
MGI:1860093	MGI	MGI:1860093	Stard10	StAR related lipid transfer domain containing 10	protein coding gene	ENSMUSG00000030688
MGI:103556	MGI	MGI:103556	Cxcl12	C-X-C motif chemokine ligand 12	protein coding gene	ENSMUSG00000061353
MGI:2149842	MGI	MGI:2149842	Sdf2l1	stromal cell-derived factor 2-like 1	protein coding gene	ENSMUSG00000022769
MGI:1914195	MGI	MGI:1914195	Sdha	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	protein coding gene	ENSMUSG00000021577
MGI:1914930	MGI	MGI:1914930	Sdhb	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	protein coding gene	ENSMUSG00000009863
MGI:1913302	MGI	MGI:1913302	Sdhc	succinate dehydrogenase complex, subunit C, integral membrane protein	protein coding gene	ENSMUSG00000058076
MGI:1921386	MGI	MGI:1921386	Sec14l1	SEC14-like lipid binding 1	protein coding gene	ENSMUSG00000020823
MGI:1338759	MGI	MGI:1338759	Sec22b	SEC22 homolog B, vesicle trafficking protein	protein coding gene	ENSMUSG00000027879
MGI:1924621	MGI	MGI:1924621	Sec24a	SEC24 homolog A, COPII coat complex component	protein coding gene	ENSMUSG00000036391
MGI:1916858	MGI	MGI:1916858	Sec24d	SEC24 homolog D, COPII coat complex component	protein coding gene	ENSMUSG00000039234
MGI:88180	MGI	MGI:88180	Bmp4	bone morphogenetic protein 4	protein coding gene	ENSMUSG00000021835
MGI:1329016	MGI	MGI:1329016	Sel1l	sel-1 suppressor of lin-12-like (C. elegans)	protein coding gene	ENSMUSG00000020964
MGI:98279	MGI	MGI:98279	Sell	selectin, lymphocyte	protein coding gene	ENSMUSG00000026581
MGI:1096347	MGI	MGI:1096347	Sema3f	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	protein coding gene	ENSMUSG00000034684
MGI:109244	MGI	MGI:109244	Sema4d	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	protein coding gene	ENSMUSG00000021451
MGI:1203727	MGI	MGI:1203727	Sema6a	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	protein coding gene	ENSMUSG00000019647
MGI:1345148	MGI	MGI:1345148	Septin3	septin 3	protein coding gene	ENSMUSG00000022456
MGI:1100878	MGI	MGI:1100878	Selenow	selenoprotein W	protein coding gene	ENSMUSG00000041571
MGI:1934229	MGI	MGI:1934229	Setdb1	SET domain, bifurcated 1	protein coding gene	ENSMUSG00000015697
MGI:1921979	MGI	MGI:1921979	Setmar	SET domain without mariner transposase fusion	protein coding gene	ENSMUSG00000034639
MGI:1935121	MGI	MGI:1935121	Sez6l	seizure related 6 homolog like	protein coding gene	ENSMUSG00000058153
MGI:1916457	MGI	MGI:1916457	Srsf11	serine and arginine-rich splicing factor 11	protein coding gene	ENSMUSG00000055436
MGI:1919443	MGI	MGI:1919443	Scaf11	SR-related CTD-associated factor 11	protein coding gene	ENSMUSG00000033228
MGI:1890577	MGI	MGI:1890577	Srsf4	serine and arginine-rich splicing factor 4	protein coding gene	ENSMUSG00000028911
MGI:1926232	MGI	MGI:1926232	Srsf7	serine and arginine-rich splicing factor 7	protein coding gene	ENSMUSG00000024097
MGI:1261415	MGI	MGI:1261415	Sgpl1	sphingosine phosphate lyase 1	protein coding gene	ENSMUSG00000020097
MGI:1350341	MGI	MGI:1350341	Sgsh	N-sulfoglucosamine sulfohydrolase (sulfamidase)	protein coding gene	ENSMUSG00000005043
MGI:1098703	MGI	MGI:1098703	Sgta	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha	protein coding gene	ENSMUSG00000004937
MGI:109328	MGI	MGI:109328	Bnip1	BCL2/adenovirus E1B interacting protein 1	protein coding gene	ENSMUSG00000024191
MGI:1346349	MGI	MGI:1346349	Sh3bp2	SH3-domain binding protein 2	protein coding gene	ENSMUSG00000054520
MGI:2138297	MGI	MGI:2138297	Sh3bp4	SH3-domain binding protein 4	protein coding gene	ENSMUSG00000036206
MGI:109327	MGI	MGI:109327	Bnip2	BCL2/adenovirus E1B interacting protein 2	protein coding gene	ENSMUSG00000011958
MGI:700009	MGI	MGI:700009	Sh3gl2	SH3-domain GRB2-like 2	protein coding gene	ENSMUSG00000028488
MGI:98297	MGI	MGI:98297	Shh	sonic hedgehog	protein coding gene	ENSMUSG00000002633
MGI:98299	MGI	MGI:98299	Shmt1	serine hydroxymethyltransferase 1 (soluble)	protein coding gene	ENSMUSG00000020534
MGI:2445190	MGI	MGI:2445190	St6gal2	beta galactoside alpha 2,6 sialyltransferase 2	protein coding gene	ENSMUSG00000024172
MGI:1858494	MGI	MGI:1858494	Bok	BCL2-related ovarian killer	protein coding gene	ENSMUSG00000026278
MGI:98301	MGI	MGI:98301	Pmel	premelanosome protein	protein coding gene	ENSMUSG00000025359
MGI:107576	MGI	MGI:107576	Sipa1	signal-induced proliferation associated gene 1	protein coding gene	ENSMUSG00000056917
MGI:1927664	MGI	MGI:1927664	Sirt2	sirtuin 2	protein coding gene	ENSMUSG00000015149
MGI:1351645	MGI	MGI:1351645	Prmt5	protein arginine N-methyltransferase 5	protein coding gene	ENSMUSG00000023110
MGI:106203	MGI	MGI:106203	Skil	SKI-like	protein coding gene	ENSMUSG00000027660
MGI:1099835	MGI	MGI:1099835	Skic2	SKI2 subunit of superkiller complex	protein coding gene	ENSMUSG00000040356
MGI:104627	MGI	MGI:104627	Dst	dystonin	protein coding gene	ENSMUSG00000026131
MGI:1351663	MGI	MGI:1351663	Skp2	S-phase kinase-associated protein 2	protein coding gene	ENSMUSG00000054115
MGI:1201406	MGI	MGI:1201406	Slc10a2	solute carrier family 10, member 2	protein coding gene	ENSMUSG00000023073
MGI:1315204	MGI	MGI:1315204	Slc40a1	solute carrier family 40 (iron-regulated transporter), member 1	protein coding gene	ENSMUSG00000025993
MGI:1203732	MGI	MGI:1203732	Slc16a2	solute carrier family 16 (monocarboxylic acid transporters), member 2	protein coding gene	ENSMUSG00000033965
MGI:1933438	MGI	MGI:1933438	Slc16a3	solute carrier family 16 (monocarboxylic acid transporters), member 3	protein coding gene	ENSMUSG00000025161
MGI:2385183	MGI	MGI:2385183	Slc16a4	solute carrier family 16 (monocarboxylic acid transporters), member 4	protein coding gene	ENSMUSG00000027896
MGI:2144585	MGI	MGI:2144585	Slc16a6	solute carrier family 16 (monocarboxylic acid transporters), member 6	protein coding gene	ENSMUSG00000041920
MGI:1098242	MGI	MGI:1098242	Bpgm	2,3-bisphosphoglycerate mutase	protein coding gene	ENSMUSG00000038871
MGI:2389216	MGI	MGI:2389216	Slc17a3	solute carrier family 17 (sodium phosphate), member 3	protein coding gene	ENSMUSG00000036083
MGI:105083	MGI	MGI:105083	Slc1a1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	protein coding gene	ENSMUSG00000024935
MGI:99917	MGI	MGI:99917	Slc1a3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	protein coding gene	ENSMUSG00000005360
MGI:2135601	MGI	MGI:2135601	Slc1a4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	protein coding gene	ENSMUSG00000020142
MGI:97851	MGI	MGI:97851	Slc20a2	solute carrier family 20, member 2	protein coding gene	ENSMUSG00000037656
MGI:3045315	MGI	MGI:3045315	Bpi	bactericidal permeablility increasing protein	protein coding gene	ENSMUSG00000052922
MGI:1351872	MGI	MGI:1351872	Slco2b1	solute carrier organic anion transporter family, member 2b1	protein coding gene	ENSMUSG00000030737
MGI:1353479	MGI	MGI:1353479	Slc22a4	solute carrier family 22 (organic cation transporter), member 4	protein coding gene	ENSMUSG00000020334
MGI:1329012	MGI	MGI:1329012	Slc22a5	solute carrier family 22 (organic cation transporter), member 5	protein coding gene	ENSMUSG00000018900
MGI:1336187	MGI	MGI:1336187	Slc22a8	solute carrier family 22 (organic anion transporter), member 8	protein coding gene	ENSMUSG00000063796
MGI:2447362	MGI	MGI:2447362	Slc24a4	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	protein coding gene	ENSMUSG00000041771
MGI:1345283	MGI	MGI:1345283	Slc25a1	solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1	protein coding gene	ENSMUSG00000003528
MGI:1353497	MGI	MGI:1353497	Slc25a10	solute carrier family 25 (mitochondrial carrier, dicarboxylate transporter), member 10	protein coding gene	ENSMUSG00000025792
MGI:1330823	MGI	MGI:1330823	Slc25a14	solute carrier family 25 (mitochondrial carrier, brain), member 14	protein coding gene	ENSMUSG00000031105
MGI:1342274	MGI	MGI:1342274	Slc25a15	solute carrier family 25 (mitochondrial carrier ornithine transporter), member 15	protein coding gene	ENSMUSG00000031482
MGI:1353498	MGI	MGI:1353498	Slc25a3	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3	protein coding gene	ENSMUSG00000061904
MGI:1353495	MGI	MGI:1353495	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4	protein coding gene	ENSMUSG00000031633
MGI:1927073	MGI	MGI:1927073	Slc29a1	solute carrier family 29 (nucleoside transporters), member 1	protein coding gene	ENSMUSG00000023942
MGI:1095438	MGI	MGI:1095438	Slc2a2	solute carrier family 2 (facilitated glucose transporter), member 2	protein coding gene	ENSMUSG00000027690
MGI:1928369	MGI	MGI:1928369	Slc2a5	solute carrier family 2 (facilitated glucose transporter), member 5	protein coding gene	ENSMUSG00000028976
MGI:1345282	MGI	MGI:1345282	Slc30a4	solute carrier family 30 (zinc transporter), member 4	protein coding gene	ENSMUSG00000005802
MGI:1195264	MGI	MGI:1195264	Slc3a1	solute carrier family 3, member 1	protein coding gene	ENSMUSG00000024131
MGI:99495	MGI	MGI:99495	Brd2	bromodomain containing 2	protein coding gene	ENSMUSG00000024335
MGI:2181411	MGI	MGI:2181411	Slc5a2	solute carrier family 5 (sodium/glucose cotransporter), member 2	protein coding gene	ENSMUSG00000030781
MGI:2149330	MGI	MGI:2149330	Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5	protein coding gene	ENSMUSG00000000792
MGI:2660847	MGI	MGI:2660847	Slc5a6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	protein coding gene	ENSMUSG00000006641
MGI:1270850	MGI	MGI:1270850	Slc6a2	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2	protein coding gene	ENSMUSG00000055368
MGI:94862	MGI	MGI:94862	Slc6a3	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	protein coding gene	ENSMUSG00000021609
MGI:1891374	MGI	MGI:1891374	Brdt	bromodomain, testis-specific	protein coding gene	ENSMUSG00000029279
MGI:105090	MGI	MGI:105090	Slc6a5	solute carrier family 6 (neurotransmitter transporter, glycine), member 5	protein coding gene	ENSMUSG00000039728
MGI:1347355	MGI	MGI:1347355	Slc7a11	solute carrier family 7 (cationic amino acid transporter, y+ system), member 11	protein coding gene	ENSMUSG00000027737
MGI:1337120	MGI	MGI:1337120	Slc7a7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	protein coding gene	ENSMUSG00000000958
MGI:1355323	MGI	MGI:1355323	Slc7a8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	protein coding gene	ENSMUSG00000022180
MGI:107976	MGI	MGI:107976	Slc8a3	solute carrier family 8 (sodium/calcium exchanger), member 3	protein coding gene	ENSMUSG00000079055
MGI:105064	MGI	MGI:105064	Slc9a3	solute carrier family 9 (sodium/hydrogen exchanger), member 3	protein coding gene	ENSMUSG00000036123
MGI:1890662	MGI	MGI:1890662	Nherf2	NHERF family PDZ scaffold protein 2	protein coding gene	ENSMUSG00000002504
MGI:105074	MGI	MGI:105074	Slc9a4	solute carrier family 9 (sodium/hydrogen exchanger), member 4	protein coding gene	ENSMUSG00000026065
MGI:1315203	MGI	MGI:1315203	Slit1	slit guidance ligand 1	protein coding gene	ENSMUSG00000025020
MGI:1933174	MGI	MGI:1933174	Bri3	brain protein I3	protein coding gene	ENSMUSG00000047843
MGI:1096393	MGI	MGI:1096393	Snai2	snail family zinc finger 2	protein coding gene	ENSMUSG00000022676
MGI:1859183	MGI	MGI:1859183	Smarcal1	SNF2 related chromatin remodeling ATPase like 1	protein coding gene	ENSMUSG00000039354
MGI:1328366	MGI	MGI:1328366	Smarcb1	SWI/SNF related BAF chromatin remodeling complex subunit B1	protein coding gene	ENSMUSG00000000902
MGI:1933621	MGI	MGI:1933621	Smarcd2	SWI/SNF related BAF chromatin remodeling complex subunit D2	protein coding gene	ENSMUSG00000078619
MGI:1914243	MGI	MGI:1914243	Smarcd3	SWI/SNF related BAF chromatin remodeling complex subunit D3	protein coding gene	ENSMUSG00000028949
MGI:108075	MGI	MGI:108075	Smo	smoothened, frizzled class receptor	protein coding gene	ENSMUSG00000001761
MGI:2444777	MGI	MGI:2444777	Ncaph	non-SMC condensin I complex, subunit H	protein coding gene	ENSMUSG00000034906
MGI:99668	MGI	MGI:99668	Siglec1	sialic acid binding Ig-like lectin 1, sialoadhesin	protein coding gene	ENSMUSG00000027322
MGI:109356	MGI	MGI:109356	Snap23	synaptosomal-associated protein 23	protein coding gene	ENSMUSG00000027287
MGI:1914724	MGI	MGI:1914724	Snap29	synaptosomal-associated protein 29	protein coding gene	ENSMUSG00000022765
MGI:1922877	MGI	MGI:1922877	Snapc1	small nuclear RNA activating complex, polypeptide 1	protein coding gene	ENSMUSG00000021113
MGI:1914861	MGI	MGI:1914861	Snapc2	small nuclear RNA activating complex, polypeptide 2	protein coding gene	ENSMUSG00000011837
MGI:2443935	MGI	MGI:2443935	Snapc4	small nuclear RNA activating complex, polypeptide 4	protein coding gene	ENSMUSG00000036281
