HGNC_ID	MGI_ID	IMPC_adult_viability	IMPC_embryo_viability	Avana_mean	Avana_mean_045	IMPC_Viability	adHOM_top_level_mp_name	adHEMI_top_level_mp_name	Viable_Phenotypes_updated	FUSIL_outliers	FUSIL
HGNC:10001	MGI:1098434	Viable	InsuffData/NoData	0.020186795	Non-essential	Viable	-	-	Viable_nophenotype	VN	VN
HGNC:10007	MGI:2384891	Lethal	Lethal_E9.5	-0.166498627	Non-essential	Lethal	mortality/aging	-	-	DL	DL
HGNC:10009	MGI:1202882	Viable	InsuffData/NoData	0.103437708	Non-essential	Viable	hematopoietic system phenotype|homeostasis/metabolism phenotype|integument phenotype	-	Viable_phenotype	VP	VP
HGNC:10021	MGI:2154952	Viable	InsuffData/NoData	-0.243978281	Non-essential	Viable	integument phenotype	-	Viable_phenotype	VP	VP
HGNC:10024	MGI:97930	Viable	InsuffData/NoData	0.001122756	Non-essential	Viable	-	-	Viable_nophenotype	VN	VN
HGNC:1004	MGI:1924295	Lethal	Viable_E18.5	-0.01579437	Non-essential	Lethal	mortality/aging	-	-	DL	DL
HGNC:10044	MGI:97919	Viable	InsuffData/NoData	-0.029016113	Non-essential	Viable	hematopoietic system phenotype|integument phenotype|behavior/neurological phenotype	-	Viable_phenotype	VP	VP
HGNC:1005	MGI:1332238	Viable	InsuffData/NoData	0.14442287	Non-essential	Viable	-	-	Viable_insufproc	Vinsuf	-
HGNC:10055	MGI:1859162	Conflicting: Subviable | Viable	InsuffData/NoData	-0.007487299	-	Other	cardiovascular system phenotype|renal/urinary system phenotype|adipose tissue phenotype|limbs/digits/tail phenotype|vision/eye phenotype|immune system phenotype|hearing/vestibular/ear phenotype|mortality/aging|skeleton phenotype|behavior/neurological phenotype|homeostasis/metabolism phenotype|nervous system phenotype|hematopoietic system phenotype|growth/size/body region phenotype	-	-	-	-
HGNC:10057	MGI:1346341	Viable	InsuffData/NoData	-9.30E-05	Non-essential	Viable	limbs/digits/tail phenotype|behavior/neurological phenotype	-	Viable_phenotype	VP	VP
HGNC:10062	MGI:1925927	Lethal	Lethal_E9.5	-0.520540325	Essential	Lethal	mortality/aging	-	-	CL	CL
HGNC:10064	MGI:1860040	Viable	InsuffData/NoData	0.057025947	Non-essential	Viable	-	-	Viable_insufproc	Vinsuf	-
HGNC:10065	MGI:1890659	Viable	InsuffData/NoData	-0.031522245	Non-essential	Viable	homeostasis/metabolism phenotype|integument phenotype|skeleton phenotype|behavior/neurological phenotype	-	Viable_phenotype	VP	VP
HGNC:10075	MGI:1915147	Lethal	Lethal_E12.5	-0.906059691	Essential	Lethal	mortality/aging	-	-	CL	CL
HGNC:1020	MGI:1914071	Lethal	Lethal_E9.5	-0.47260469	Essential	Lethal	mortality/aging	-	-	CL	CL
