uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	highest_phase_with_known_outcome	genetic_insight	target_status
A2M-D002545	0.368	4	A2M-D002545	A2M	D002545	Brain Ischemia	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	TRUE	NA	67	D054222	Cobblestone Lissencephaly	OTG	NA	Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021	NA	NA	0.512621990891347	0.82	1	Phase III	0.82	1	3	omim/tcga	unsupported target
A2M-D010003	0.419	1	A2M-D010003	A2M	D010003	Osteoarthritis	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	60	D012600	Scoliosis	OTG	NA	Adolescent idiopathic scoliosis	https://genetics.opentargets.org/study/GCST006287	2018	NA	NA	0.110938108213313	0.11	2	Preclinical	0.11	2	0	both	unsupported target
A2M-D016491	0.222	4	A2M-D016491	A2M	D016491	Peripheral Vascular Diseases	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	TRUE	NA	50	D000740	Anemia	OTG	NA	Mean corpuscular volume	https://genetics.opentargets.org/study/GCST90002334	2020	NA	NA	0.0760404511863088	0.2	2	Phase III	0.2	2	3	both	unsupported target
A2M-D020521	0.381	4	A2M-D020521	A2M	D020521	Stroke	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	TRUE	NA	67	D054222	Cobblestone Lissencephaly	OTG	NA	Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021	NA	NA	0.512621990891347	0.82	1	Phase III	0.82	1	3	gwas	unsupported target
AADAT-D012559	0.602	1	AADAT-D012559	AADAT	D012559	Schizophrenia	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	330	D012893	Sleep Wake Disorders	OTG	NA	Ease of getting up in the morning	https://genetics.opentargets.org/study/GCST007986	2019	NA	NA	0.0974961079398028	0.89	1	Preclinical	0.89	1	0	both	unsupported target
AAK1-D009437	0.447	3	AAK1-D009437	AAK1	D009437	Neuralgia	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	606	D009765	Obesity	OTG	NA	Weight	https://genetics.opentargets.org/study/GCST90018949	2021	NA	NA	0.169218790552816	0.26	2	Phase II	0.26	2	1	both	unsupported target
AAK1-D051474	0.428	3	AAK1-D051474	AAK1	D051474	Neuralgia, Postherpetic	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	606	D009765	Obesity	OTG	NA	Weight	https://genetics.opentargets.org/study/GCST90018949	2021	NA	NA	0.169218790552816	0.26	2	Phase II	0.26	2	1	gwas	unsupported target
ABAT-D000544	0.231	3	ABAT-D000544	ABAT	D000544	Alzheimer Disease	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	1018	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count	https://genetics.opentargets.org/study/NEALE2_30130_raw	2018	NA	NA	0.00609281825252787	0.23	3	Phase II	0.23	3	2	both	unsupported target
ABAT-D000690	0.438	1	ABAT-D000690	ABAT	D000690	Amyotrophic Lateral Sclerosis	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	1014	D000592	Amino Acid Metabolism, Inborn Errors	OMIM	NA	GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	unsupported target
ABAT-D004827	0.241	1	ABAT-D004827	ABAT	D004827	Epilepsy	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	TRUE	NA	1018	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count	https://genetics.opentargets.org/study/NEALE2_30130_raw	2018	NA	NA	0.00609281825252787	0.23	3	Preclinical	0.23	3	NA	both	unsupported target
