Therapeutic Area,Ontology ID,Number of Pairs (N),Unique Diseases,Unique Targets
other (no area root),other,5031,303,2730
other (no area root),MONDO_0045024,5029,240,2045
other (no area root),EFO_0000319,4664,102,2267
other (no area root),OTAR_0000018,3982,121,2338
other (no area root),EFO_0000618,3573,75,1861
other (no area root),OTAR_0000006,2881,78,1751
other (no area root),EFO_0009605,2078,10,1638
other (no area root),OTAR_0000010,1720,35,949
other (no area root),MONDO_0024458,1288,65,783
other (no area root),EFO_0001379,870,22,461
other (no area root),EFO_0010282,858,53,654
other (no area root),EFO_0000540,813,15,693
other (no area root),EFO_0009690,768,30,553
other (no area root),EFO_0010285,703,40,452
other (no area root),OTAR_0000020,586,21,376
other (no area root),EFO_0005741,554,53,441
other (no area root),EFO_0003765,419,22,269
other (no area root),OTAR_0000017,364,31,224
other (no area root),OTAR_0000009,254,38,161
other (no area root),EFO_0005803,145,11,107
other (no area root),OTAR_0000014,133,10,108
other (no area root),MONDO_0002025,95,9,74
other (no area root),MONDO_0021205,50,10,33
