Therapeutic Area,Ontology ID,Number of Pairs (N),Unique Diseases,Unique Targets
other (no area root),EFO_0000319,410,56,209
other (no area root),other,401,108,282
other (no area root),MONDO_0045024,379,101,170
other (no area root),OTAR_0000018,297,68,214
other (no area root),EFO_0000618,251,37,145
other (no area root),OTAR_0000006,212,36,147
other (no area root),EFO_0009605,145,7,118
other (no area root),OTAR_0000010,106,20,78
other (no area root),MONDO_0024458,84,21,55
other (no area root),EFO_0001379,70,13,41
other (no area root),EFO_0010282,59,18,52
other (no area root),EFO_0009690,57,14,45
other (no area root),OTAR_0000020,53,12,37
other (no area root),EFO_0000540,51,6,51
other (no area root),EFO_0010285,41,15,29
other (no area root),EFO_0005741,26,13,21
other (no area root),EFO_0005803,21,4,14
other (no area root),OTAR_0000009,18,9,14
other (no area root),OTAR_0000017,16,10,14
other (no area root),EFO_0003765,13,7,12
other (no area root),MONDO_0021205,10,5,5
other (no area root),OTAR_0000014,8,4,8
other (no area root),MONDO_0002025,6,5,6
