Gene symbol,Ensembl gene ID,Disease name,EFO ID,Therapeutic area,gPS,Number of therapeutic areas
TLR1,ENSG00000174125,Lyme disease,EFO_0008510,infectious disease,19,7
SCGB1D2,ENSG00000124935,Lyme disease,EFO_0008510,infectious disease,2,1
CRP,ENSG00000132693,bacterial disease,EFO_0000771,infectious disease,9,3
ADCY3,ENSG00000138031,bacterial disease,EFO_0000771,infectious disease,10,6
APOE,ENSG00000130203,bacterial disease,EFO_0000771,infectious disease,107,16
SLC7A10,ENSG00000130876,allergic asthma,MONDO_0004784,respiratory or thoracic disease,26,9
D2HGDH,ENSG00000180902,allergic asthma,MONDO_0004784,respiratory or thoracic disease,20,8
SPATA32,ENSG00000184361,allergic asthma,MONDO_0004784,respiratory or thoracic disease,4,2
MPHOSPH9,ENSG00000051825,allergic asthma,MONDO_0004784,respiratory or thoracic disease,19,8
FASLG,ENSG00000117560,allergic asthma,MONDO_0004784,respiratory or thoracic disease,17,10
ICE2,ENSG00000128915,allergic asthma,MONDO_0004784,respiratory or thoracic disease,8,5
IL13,ENSG00000169194,allergic asthma,MONDO_0004784,respiratory or thoracic disease,25,10
SMAD3,ENSG00000166949,allergic asthma,MONDO_0004784,respiratory or thoracic disease,82,16
PDE1B,ENSG00000123360,allergic asthma,MONDO_0004784,respiratory or thoracic disease,1,1
ID2,ENSG00000115738,allergic asthma,MONDO_0004784,respiratory or thoracic disease,17,9
WDR36,ENSG00000134987,allergic asthma,MONDO_0004784,respiratory or thoracic disease,17,7
NCOR2,ENSG00000196498,allergic asthma,MONDO_0004784,respiratory or thoracic disease,18,7
GSDMB,ENSG00000073605,allergic asthma,MONDO_0004784,respiratory or thoracic disease,36,12
ARRDC1,ENSG00000197070,allergic asthma,MONDO_0004784,respiratory or thoracic disease,7,3
IL4R,ENSG00000077238,allergic asthma,MONDO_0004784,respiratory or thoracic disease,15,7
PHOSPHO1,ENSG00000173868,allergic asthma,MONDO_0004784,respiratory or thoracic disease,6,4
CRLF2,ENSG00000205755,allergic asthma,MONDO_0004784,respiratory or thoracic disease,6,3
LRRC32,ENSG00000137507,allergic asthma,MONDO_0004784,respiratory or thoracic disease,36,10
FLG,ENSG00000143631,allergic asthma,MONDO_0004784,respiratory or thoracic disease,24,9
IL1RL1,ENSG00000115602,allergic asthma,MONDO_0004784,respiratory or thoracic disease,24,8
LIME1,ENSG00000203896,allergic asthma,MONDO_0004784,respiratory or thoracic disease,8,6
CSF2RA,ENSG00000198223,asthma,MONDO_0004979,respiratory or thoracic disease,6,3
AGO2,ENSG00000123908,autoimmune disease,EFO_0005140,immune system disease,8,6
FOXP1,ENSG00000114861,autoimmune disease,EFO_0005140,immune system disease,51,12
TNFSF8,ENSG00000106952,autoimmune disease,EFO_0005140,immune system disease,8,5
NEK6,ENSG00000119408,autoimmune disease,EFO_0005140,immune system disease,23,10
CD44,ENSG00000026508,autoimmune disease,EFO_0005140,immune system disease,10,8
MYC,ENSG00000136997,autoimmune disease,EFO_0005140,immune system disease,50,9
ARHGAP9,ENSG00000123329,autoimmune disease,EFO_0005140,immune system disease,1,1
IRAK1,ENSG00000184216,autoimmune disease,EFO_0005140,immune system disease,4,3
ENDOD1,ENSG00000149218,autoimmune disease,EFO_0005140,immune system disease,1,1
MTF1,ENSG00000188786,autoimmune disease,EFO_0005140,immune system disease,1,1
RAVER2,ENSG00000162437,autoimmune disease,EFO_0005140,immune system disease,6,4
KIF21B,ENSG00000116852,autoimmune disease,EFO_0005140,immune system disease,7,4
TNS1,ENSG00000079308,autoimmune disease,EFO_0005140,immune system disease,26,11
NR3C2,ENSG00000151623,autoimmune disease,EFO_0005140,immune system disease,13,7
RBM17,ENSG00000134453,autoimmune disease,EFO_0005140,immune system disease,9,5
