EFO ID,Ensembl gene ID,Gene symbol,Disease name
CHEBI_9150,ENSG00000130203,APOE,
DOID_10113,ENSG00000100342,APOL1,trypanosomiasis
DOID_10113,ENSG00000113578,FGF1,trypanosomiasis
DOID_10113,ENSG00000115758,ODC1,trypanosomiasis
DOID_13406,ENSG00000106348,IMPDH1,pulmonary sarcoidosis
DOID_13406,ENSG00000113580,NR3C1,pulmonary sarcoidosis
DOID_13406,ENSG00000178035,IMPDH2,pulmonary sarcoidosis
DOID_13406,ENSG00000196664,TLR7,pulmonary sarcoidosis
DOID_13406,ENSG00000239732,TLR9,pulmonary sarcoidosis
DOID_7551,ENSG00000118113,MMP8,gonorrhea
DOID_7551,ENSG00000137673,MMP7,gonorrhea
DOID_7551,ENSG00000137745,MMP13,gonorrhea
DOID_7551,ENSG00000196611,MMP1,gonorrhea
EFO_0000094,ENSG00000012124,CD22,B-cell acute lymphoblastic leukemia
EFO_0000094,ENSG00000177455,CD19,B-cell acute lymphoblastic leukemia
EFO_0000095,ENSG00000010671,BTK,chronic lymphocytic leukemia
EFO_0000095,ENSG00000014138,POLA2,chronic lymphocytic leukemia
EFO_0000095,ENSG00000062822,POLD1,chronic lymphocytic leukemia
EFO_0000095,ENSG00000077514,POLD3,chronic lymphocytic leukemia
EFO_0000095,ENSG00000097007,ABL1,chronic lymphocytic leukemia
EFO_0000095,ENSG00000100387,RBX1,chronic lymphocytic leukemia
EFO_0000095,ENSG00000100479,POLE2,chronic lymphocytic leukemia
EFO_0000095,ENSG00000101162,TUBB1,chronic lymphocytic leukemia
EFO_0000095,ENSG00000101868,POLA1,chronic lymphocytic leukemia
EFO_0000095,ENSG00000104833,TUBB4A,chronic lymphocytic leukemia
EFO_0000095,ENSG00000105851,PIK3CG,chronic lymphocytic leukemia
EFO_0000095,ENSG00000106628,POLD2,chronic lymphocytic leukemia
EFO_0000095,ENSG00000111424,VDR,chronic lymphocytic leukemia
EFO_0000095,ENSG00000113580,NR3C1,chronic lymphocytic leukemia
EFO_0000095,ENSG00000113851,CRBN,chronic lymphocytic leukemia
EFO_0000095,ENSG00000115268,RPS15,chronic lymphocytic leukemia
EFO_0000095,ENSG00000119535,CSF3R,chronic lymphocytic leukemia
EFO_0000095,ENSG00000123374,CDK2,chronic lymphocytic leukemia
EFO_0000095,ENSG00000131747,TOP2A,chronic lymphocytic leukemia
EFO_0000095,ENSG00000136807,CDK9,chronic lymphocytic leukemia
EFO_0000095,ENSG00000137267,TUBB2A,chronic lymphocytic leukemia
EFO_0000095,ENSG00000137285,TUBB2B,chronic lymphocytic leukemia
EFO_0000095,ENSG00000139842,CUL4A,chronic lymphocytic leukemia
EFO_0000095,ENSG00000146143,PRIM2,chronic lymphocytic leukemia
EFO_0000095,ENSG00000148229,POLE3,chronic lymphocytic leukemia
EFO_0000095,ENSG00000152213,ARL11,chronic lymphocytic leukemia
EFO_0000095,ENSG00000156738,MS4A1,chronic lymphocytic leukemia
EFO_0000095,ENSG00000164885,CDK5,chronic lymphocytic leukemia
EFO_0000095,ENSG00000167325,RRM1,chronic lymphocytic leukemia
EFO_0000095,ENSG00000167986,DDB1,chronic lymphocytic leukemia
EFO_0000095,ENSG00000169442,CD52,chronic lymphocytic leukemia
EFO_0000095,ENSG00000170312,CDK1,chronic lymphocytic leukemia
EFO_0000095,ENSG00000171608,PIK3CD,chronic lymphocytic leukemia
EFO_0000095,ENSG00000171791,BCL2,chronic lymphocytic leukemia
EFO_0000095,ENSG00000175482,POLD4,chronic lymphocytic leukemia
EFO_0000095,ENSG00000176014,TUBB6,chronic lymphocytic leukemia
EFO_0000095,ENSG00000177084,POLE,chronic lymphocytic leukemia
EFO_0000095,ENSG00000187266,EPOR,chronic lymphocytic leukemia
EFO_0000095,ENSG00000188229,TUBB4B,chronic lymphocytic leukemia
EFO_0000095,ENSG00000196230,TUBB,chronic lymphocytic leukemia
EFO_0000095,ENSG00000196839,ADA,chronic lymphocytic leukemia
EFO_0000095,ENSG00000198056,PRIM1,chronic lymphocytic leukemia
EFO_0000095,ENSG00000213923,CSNK1E,chronic lymphocytic leukemia
EFO_0000095,ENSG00000258947,TUBB3,chronic lymphocytic leukemia
EFO_0000095,ENSG00000261456,TUBB8,chronic lymphocytic leukemia
EFO_0000096,ENSG00000010671,BTK,neoplasm of mature B-cells
EFO_0000096,ENSG00000014138,POLA2,neoplasm of mature B-cells
EFO_0000096,ENSG00000062822,POLD1,neoplasm of mature B-cells
EFO_0000096,ENSG00000077097,TOP2B,neoplasm of mature B-cells
EFO_0000096,ENSG00000077514,POLD3,neoplasm of mature B-cells
EFO_0000096,ENSG00000100479,POLE2,neoplasm of mature B-cells
EFO_0000096,ENSG00000101162,TUBB1,neoplasm of mature B-cells
EFO_0000096,ENSG00000101868,POLA1,neoplasm of mature B-cells
EFO_0000096,ENSG00000104687,GSR,neoplasm of mature B-cells
EFO_0000096,ENSG00000104833,TUBB4A,neoplasm of mature B-cells
EFO_0000096,ENSG00000105851,PIK3CG,neoplasm of mature B-cells
EFO_0000096,ENSG00000106628,POLD2,neoplasm of mature B-cells
EFO_0000096,ENSG00000112715,VEGFA,neoplasm of mature B-cells
EFO_0000096,ENSG00000113580,NR3C1,neoplasm of mature B-cells
EFO_0000096,ENSG00000121879,PIK3CA,neoplasm of mature B-cells
EFO_0000096,ENSG00000131747,TOP2A,neoplasm of mature B-cells
EFO_0000096,ENSG00000137267,TUBB2A,neoplasm of mature B-cells
EFO_0000096,ENSG00000137285,TUBB2B,neoplasm of mature B-cells
EFO_0000096,ENSG00000146143,PRIM2,neoplasm of mature B-cells
EFO_0000096,ENSG00000148229,POLE3,neoplasm of mature B-cells
