studyId,traitFromSource,traitFromSourceMappedIds,diseaseIds,pubmedId,publicationDate,nCases,nControls,nSamples,cohorts,qualityControls,analysisFlags
FINNGEN_R12_AUTOIMMUNE_HYPERTHYROIDISM,Autoimmune hyperthyroidism,['EFO_0004237'],['EFO_0004237'],,,2469.0,370637.0,373106.0,['FinnGen'],[],[]
FINNGEN_R12_CD2_BENIGN_LARYNX,Benign neoplasm: Larynx,['MONDO_0002354'],['MONDO_0002354'],,,1152.0,499196.0,500348.0,['FinnGen'],[],[]
FINNGEN_R12_E4_ADRENAS,"Disorders of adrenal gland, other and/or unspecified",['EFO_0005539'],['EFO_0005539'],,,167.0,479069.0,479236.0,['FinnGen'],[],[]
FINNGEN_R12_H7_PRESBYOPIA,Presbyopia,['MONDO_0001330'],['MONDO_0001330'],,,2305.0,476776.0,479081.0,['FinnGen'],[],[]
GCST000337_7,Quantitative traits,['EFO_0004574'],['EFO_0004574'],19197348,2009-02-06,0.0,0.0,2906.0,,['Harmonized summary statistics are not available or empty'],[]
GCST001602,Alzheimer's disease,['MONDO_0004975'],['MONDO_0004975'],22785395,2012-07-11,141.0,141.0,282.0,,['Harmonized summary statistics are not available or empty'],[]
GCST001945,Body mass index in asthmatics,['EFO_0004340'],['EFO_0004340'],23517042,2013-04-01,0.0,0.0,6151.0,,['Harmonized summary statistics are not available or empty'],[]
GCST003171,Visceral adipose tissue,['OBA_2045224'],['OBA_2045224'],26480920,2015-10-20,0.0,0.0,2513.0,,['Harmonized summary statistics are not available or empty'],[]
GCST003622,Systemic lupus erythematosus,['MONDO_0007915'],['MONDO_0007915'],27399966,2016-07-11,5695.0,10357.0,16052.0,,['Harmonized summary statistics are not available or empty'],[]
GCST004385,Systolic blood pressure,['EFO_0006335'],['EFO_0006335'],28498854,2017-05-12,0.0,0.0,31155.0,,['Harmonized summary statistics are not available or empty'],[]
GCST005534,Systemic sclerosis,['EFO_0000717'],['EFO_0000717'],24387989,2014-01-02,1833.0,3466.0,5299.0,,['Harmonized summary statistics are not available or empty'],[]
GCST008773,Birth weight or body mass index (pleiotropy),['EFO_0004340' 'EFO_0004344'],['EFO_0004344' 'EFO_0004340'],30858448,2019-03-11,0.0,0.0,493005.0,,['Harmonized summary statistics are not available or empty'],[]
GCST008807,Smoking behaviour (age at first cigarette),['EFO_0010126'],['EFO_0010126'],30679032,2018-12-06,0.0,0.0,2705.0,,['Harmonized summary statistics are not available or empty'],[]
GCST009613,HDL cholesterol levels x loop diuretics use interaction,['EFO_0004612' 'GO_0036270'],['EFO_0004612' 'GO_0036270'],31806883,2019-12-06,0.0,0.0,38834.0,,['Harmonized summary statistics are not available or empty'],[]
