category,label,odds_ratio,log_odds_ratio,ci_lower,ci_upper,log_ci_lower,log_ci_upper,p_value,fdr
Drosophila distant orthologs,Drosophila distant orthologs (830/41.9%),0.8001116165213102,-0.2230040403946728,0.7328805835754885,0.8735101096131089,-0.3107725049984998,-0.1352355757908458,6.361072976404402e-07,1.1131877708707705e-06
Q1 LoF constraint,Q1 LoF constraint (4526/33.2%),0.8547520776244846,-0.1569438197847977,0.8180830356513198,0.8930647408202299,-0.2007914369550543,-0.1130962026145411,2.294543686987455e-12,6.02317717834207e-12
Essential Gene (DepMap),Essential Gene (DepMap) (1489/35.3%),0.8602473270500852,-0.1505353414874214,0.802620691526526,0.9220114451439592,-0.2198730408604963,-0.0811976421143465,2.0888822994671135e-05,3.374348329908414e-05
Non-essential Gene (DepMap),Non-essential Gene (DepMap) (766/31.5%),0.8608163060542582,-0.1498741468471331,0.7784160144568509,0.9519391931908586,-0.2504941747648689,-0.0492541189293973,0.0035073026672946,0.0052609540009419
Cellular lethal (FUSIL),Cellular lethal (FUSIL) (415/39.0%),0.8759110528663118,-0.1324907310249043,0.7760793804475917,0.9885846626808829,-0.2535004696394063,-0.0114809924104024,0.0318794655114989,0.0418417984838423
Human Knockout,Human Knockout (4445/41.3%),0.887662441222951,-0.1191637420170571,0.8527377558918943,0.924017500238116,-0.1593032161659494,-0.0790242678681649,5.9332841431369475e-09,1.2459896700587588e-08
Viable with no phenotype (FUSIL),Viable with no phenotype (FUSIL) (321/45.2%),0.9058886869454806,-0.0988388425784036,0.7990612221264166,1.0269980452210925,-0.2243177127139706,0.0266400275571633,0.1226246403702265,0.135532497251303
Viable with phenotype (FUSIL),Viable with phenotype (FUSIL) (1862/50.7%),1.0106729194058672,0.0106163658401078,0.961702009066284,1.062137481663487,-0.0390506381879129,0.0602833698681285,0.6752570394363564,0.6752570394363564
Withdrawn Drug,Withdrawn Drug (166/54.8%),1.0795732587780944,0.0765658322903756,0.9336679704971876,1.2482793218751258,-0.0686343959285773,0.2217660605093287,0.3013640502000585,0.3164322527100615
Subviable (FUSIL),Subviable (FUSIL) (419/52.7%),1.0957926129454236,0.0914779488560025,0.9977995510994192,1.2034094916786722,-0.0022028734456408,0.185158771157646,0.0556359911832877,0.0687268126381789
Developmental lethal (FUSIL),Developmental lethal (FUSIL) (785/50.8%),1.1098545857024338,0.1042290028708047,1.03426222459688,1.1909718561797278,0.0336883460592964,0.1747696596823129,0.0037796350414507,0.0052914890580311
Known safety events,Known safety events (214/56.5%),1.123599951957629,0.1165377734904115,0.9922811286847556,1.2722975531264695,-0.0077488159947151,0.2408243629755382,0.066096691507891,0.0771128067592061
ChEMBL,ChEMBL (1137/54.9%),1.1732923761365428,0.1598137936308328,1.1085210279914577,1.2418483412934795,0.1030267196655797,0.2166008675960859,3.470878655876569e-08,6.626222888491633e-08
Orphanet,Orphanet (3814/50.8%),1.1853427681701632,0.1700319886004897,1.1417943683945644,1.2305521177415486,0.1326010323188013,0.207462944882178,5.424251485974985e-19,1.898488020091245e-18
Q4 LoF constraint,Q4 LoF constraint (4520/56.7%),1.2353438993640622,0.2113493923403977,1.1922244768931656,1.280022830660905,0.1758208704545053,0.2468779142262901,2.057606001977518e-31,4.320972604152789e-30
OMIM,OMIM (4182/51.6%),1.2398493296053514,0.2149898638514228,1.195286984993552,1.2860730346956233,0.1783863113572444,0.2515934163456013,1.1506565731777861e-30,1.2081894018366753e-29
Mouse KO Mortality,Mouse KO Mortality (1022/57.8%),1.298431308959641,0.2611568504207728,1.2263280959573797,1.3747739040182931,0.2040244166849129,0.3182892841566327,3.271919637712797e-19,1.3742062478393749e-18
Trial Safety,Trial Safety (440/55.7%),1.3036905573738715,0.2651991327163385,1.1976817498719248,1.4190823810812392,0.18038781320968,0.3500104522229971,8.861566426435014e-10,2.067698832834837e-09
DD panel (gene2phenotype),DD panel (gene2phenotype) (861/57.4%),1.3252845063271237,0.2816271581450882,1.2461512407910635,1.4094429032512688,0.2200597940513954,0.3431945222387811,3.0901815857735494e-19,1.3742062478393749e-18
Gene-based analysis,Gene-based analysis (557/60.9%),1.3320642995226557,0.2867298438680045,1.2386096239807702,1.4325702495028665,0.2139894795390858,0.3594702081969231,1.1112111685539594e-14,3.3336335056618785e-14
Cancer Driver (COSMIC),Cancer Driver (COSMIC) (368/68.8%),1.498403014446467,0.4043998839225914,1.38008834086599,1.6268607792841825,0.3221475122405156,0.4866522556046672,5.617185865548116e-22,3.932030105883681e-21
