Gene symbol,Ensembl target ID,Disease name,Disease ID,Open Targets indirect association score,Maximum absolute rescaled effect size,Minimum MAF,Maximum VEP score,Highest clinical phase,Number of unique associated diseases,Number of unique therapeutic areas,Approved (1 = approved),GWAS genetic support (1 = present)
FGR,ENSG00000000938,HIV-1 infection,EFO_0000180,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
FGR,ENSG00000000938,HIV infection,EFO_0000764,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
FGR,ENSG00000000938,obesity,EFO_0001073,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
FGR,ENSG00000000938,diabetic retinopathy,EFO_0003770,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
FGR,ENSG00000000938,chronic kidney disease,EFO_0003884,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
FGR,ENSG00000000938,brain disease,EFO_0005774,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
FGR,ENSG00000000938,macular degeneration,EFO_0009606,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
FGR,ENSG00000000938,aging,EFO_0022597,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
FGR,ENSG00000000938,scleroderma,EFO_1001993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
FGR,ENSG00000000938,Alzheimer disease,MONDO_0004975,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
FGR,ENSG00000000938,COVID-19,MONDO_0100096,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
FGR,ENSG00000000938,choroidal neovascularization,MONDO_0810000,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
CFTR,ENSG00000001626,chronic obstructive pulmonary disease,EFO_0000341,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0,0
CFTR,ENSG00000001626,irritable bowel syndrome,EFO_0000555,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0,0
