group,datasource,clinicalPhase,odds_ratio,p_value,ci_low,ci_high,Relative success,ci_rs_low,ci_rs_high,rs_p_value,no_evid-low_clinphase,no_evid-high_clinphase,yes_evid-low_clinphase,yes_evid-high_clinphase,total_indirect_assoc,n_support,n_no_support,z_p_value,drugsource,diffence_pval
All GWAS,full_l2g,4+,3.6185775104118463,3.534570707321219e-49,3.093637969616793,4.232590667511221,2.764540101355692,2.4836390089641327,3.0772112792636968,3.1611697765660734e-77,32313,4322,500,242,151704,742.0,36635.0,3.3649147795051664e-58,full_chembl,
PAV,PAV_subEvid,4+,6.048323445762209,2.6984221825650887e-25,4.425961082791256,8.26537238359224,3.790688115980352,3.185279004695307,4.51116413081974,6.348801077254517e-51,32313,4322,89,72,151704,161.0,36635.0,1.3782481104614002e-29,full_chembl,0.000244095288211
PAV,PAV_base,4+,3.092428147282449,4.86622267649535e-29,2.5790698092508597,3.707969366243153,2.480185832242834,2.1789346326696952,2.8230868747637907,5.2340580762749356e-43,32313,4322,411,170,151704,581.0,36635.0,3.5306220164621953e-34,full_chembl,0.000244095288211
effect size,BigEffect_subEvid,4+,4.6282475044622196,7.686157440748705e-12,3.1005163318690903,6.908744437945821,3.2409763998149,2.528517637426278,4.154184202111744,1.6298037309963204e-20,32313,4322,63,39,151704,102.0,36635.0,6.567011824345331e-14,full_chembl,0.1933134698272322
effect size,BigEffect_base,4+,3.4730186783176276,9.52749880506424e-40,2.931594189977639,4.114436705182282,2.6886080662887553,2.3915760652049487,3.0225312250285863,1.3969404254300569e-61,32313,4322,437,203,151704,640.0,36635.0,5.27819757973951e-47,full_chembl,0.1933134698272322
variant frequency,rare_subEvid,4+,6.994051439745637,3.4905910157518867e-12,4.211061131750933,11.616253958647413,4.096926577201913,3.149136199121395,5.329971877261556,8.157426471596209e-26,32313,4322,31,29,151704,60.0,36635.0,5.723987124873046e-14,full_chembl,0.0077173575909135
variant frequency,rare_base,4+,3.3954651611381843,1.945941277967296e-40,2.878911006134375,4.004703040815365,2.6473213498149684,2.3601246292810703,2.969466206249024,5.2800839360423135e-62,32313,4322,469,213,151704,682.0,36635.0,9.238816693155696e-48,full_chembl,0.0077173575909135
gPS,low-gPS-5_subEvid,4+,4.798286448368984,7.079648652033892e-25,3.653165103313648,6.302357596627003,3.3135017458247447,2.8030206885828277,3.9169506897698367,9.580487513118378e-45,32313,4322,134,86,151704,220.0,36635.0,1.781210390050947e-29,full_chembl,0.0077175000737461
gPS,high-gPS_subEvid,4+,2.9677312242353167,1.8400031084773488e-17,2.3594574491210727,3.732819433799124,2.408594482922549,2.0422242200639773,2.8406907166066224,1.5987755373961465e-25,32313,4322,262,104,151704,366.0,36635.0,1.464477341019331e-20,full_chembl,0.0077175000737461
therapeutic areas,TA-1_subEvid,4+,4.2907160793554455,7.319653290353879e-07,2.5290983568819434,7.279370698867108,3.0636694056974827,2.198060642331416,4.270159815723396,3.8689595066566755e-11,32776,4542,37,22,151704,59.0,37318.0,6.64591761052834e-08,full_chembl,0.1776538644763561
therapeutic areas,TA-6plus_subEvid,4+,2.8881755914500533,1.967234739532445e-13,2.228505617357208,3.743117442503979,2.351536212827406,1.9518666875907145,2.8330431557619695,2.3253657520819734e-19,32609,4483,204,81,151704,285.0,37092.0,1.0813230858268337e-15,full_chembl,0.1776538644763561
more effect size,MoreBigEffect_subEvid,4+,5.981119851920408,1.0080760152504006e-06,3.09701215974169,11.551066911542303,3.767288806622448,2.6118517057135753,5.433870889934509,1.2736037096647064e-12,32313,4322,20,16,151704,36.0,36635.0,1.0018283973593486e-07,full_chembl,
more effect size,MoreBigEffect_base,4+,3.520138246182323,1.191656232379609e-44,2.995844848473145,4.1361865847461745,2.713408439330758,2.4281172508907956,3.0322198633242654,2.0003144785634177e-69,32313,4322,480,226,151704,706.0,36635.0,8.275832963634163e-53,full_chembl,
gPS,high-gPS_base,4+,4.335055354858278,3.2612126797424735e-35,3.506554562169569,5.359307718302847,3.1110190810007188,2.7163433703215625,3.563039867527799,2.0031922981655526e-60,32313,4322,238,138,151704,376.0,36635.0,7.507514068678615e-42,full_chembl,0.0077175000737461
gPS,low-gPS-5_base,4+,3.186662216187102,9.11070341991933e-28,2.635034546405522,3.853769619046091,2.533176956177164,2.214713491742857,2.89743369299529,6.936482425217702e-42,32313,4322,366,156,151704,522.0,36635.0,6.427086419425271e-33,full_chembl,0.0077175000737461
All GWAS,full_l2g,2+,1.7461484256011248,1.1540681156398785e-06,1.3750830656982944,2.2173455555435315,1.0764249061262607,1.0501285859938092,1.1033797136684744,5.3404739184811925e-09,6087,30548,76,666,151704,742.0,36635.0,4.803444823305052e-06,full_chembl,
All GWAS,full_l2g,3+,2.060942208605616,7.941172109931906e-22,1.7739240700869578,2.394399432780673,1.3989257091657237,1.3214046203734469,1.4809946246530834,8.135878030672499e-31,20294,16341,279,463,151704,742.0,36635.0,3.3472751770607488e-21,full_chembl,
,OMIM,2+,1.1660508471779982,0.3393830489005807,0.8603418512241071,1.5803887446251303,1.0240724600938518,0.9798616749429384,1.0702780099892624,0.2907551635931252,6114,30925,49,289,60318,,,,,
,OMIM,3+,2.2696554292503857,2.11010860485216e-13,1.8138973012627624,2.8399269153438844,1.4470088641443666,1.336564067787641,1.5665800864886392,7.406481941131193e-20,20454,16585,119,219,60318,,,,,
,OMIM,4+,5.34389047342139,1.8965682333969856e-43,4.296015389000052,6.647361055792423,3.5189424047058946,3.095321411754284,4.000539524139182,2.2767897900615075e-82,32617,4422,196,142,60318,,,,,
,Orphanet,2+,1.138622867634973,0.4438227050579613,0.8315661974222253,1.559060527857188,1.020503703894562,0.9741112570275002,1.06910561001054,0.3925391631386324,6117,30949,46,265,58015,,,,,
,Orphanet,3+,2.4193436960276338,4.266517583834721e-14,1.9109195492648423,3.0630404727192566,1.4791996401379472,1.3652692683554248,1.6026373889012313,1.0295800421540319e-21,20468,16598,105,206,58015,,,,,
,Orphanet,4+,5.007281098132833,9.537626030510752e-37,3.9842038369748254,6.293067579282285,3.383752421718888,2.949140119940055,3.882413173274782,1.1763584521625195e-67,32628,4438,185,126,58015,,,,,
,Gene-based tests,2+,1.8767802155504232,0.2981891365419927,0.6695874875912312,5.260408897652199,1.083502877671469,0.9821344553347854,1.1953337748670818,0.1095344234891717,6159,31176,4,38,15304,,,,,
,Gene-based tests,3+,3.9233007393274506,6.242765820266841e-05,1.928154042967431,7.982914408393725,1.6960239855541548,1.431679084610225,2.0091774689564086,9.900233247245707e-10,20563,16772,10,32,15304,,,,,
,Gene-based tests,4+,7.218137794408981,2.586891801247062e-09,3.939022304964239,13.227016550125468,4.109068897204491,3.032952243709177,5.567000679616484,7.40227575725015e-20,32792,4543,21,21,15304,,,,,
,ClinVar/ClinGen,2+,1.3064492494479052,0.0380217664455038,1.0126895924044377,1.6854223191239697,1.0403530500227205,1.0059259958199969,1.0759583440422913,0.0212151138421502,6094,30759,69,455,102476,,,,,
,ClinVar/ClinGen,3+,2.231032150185966,3.4996040216250248e-19,1.863698746815156,2.6707666481341943,1.4393187253526254,1.3490281089183522,1.5356525037953,3.1473347301746258e-28,20386,16467,187,337,102476,,,,,
,ClinVar/ClinGen,4+,5.074451475301659,5.6401316357427456e-61,4.250007198294288,6.058826861640564,3.426009275370453,3.0766513008701075,3.815037326981086,1.5967829723566061e-111,32501,4352,312,212,102476,,,,,
,UniProt,2+,1.2253485191188234,0.2334801282337403,0.8963574824673228,1.675089484581204,1.0313173168563925,0.987399582816462,1.0771884316722198,0.1648697294821647,6117,30929,46,285,57717,,,,,
,UniProt,3+,2.285610427350072,2.6645448471563393e-13,1.821950264804268,2.8672654388689325,1.4505462524852215,1.339108844530526,1.5712572127298472,7.523045134868424e-20,20457,16589,116,215,57717,,,,,
,UniProt,4+,5.008014116946065,5.913793939748058e-39,4.012169655111494,6.251033119593773,3.385434383801736,2.962305426764056,3.8690021168907345,1.1360318634450991e-71,32616,4430,197,134,57717,,,,,
,The Genomics England PanelApp,2+,1.246908299931567,0.1480656493807998,0.9319923018739192,1.668232994319907,1.033814314977708,0.9933309230836987,1.075947615256887,0.1027464217521429,6110,30880,53,334,68816,,,,,
,The Genomics England PanelApp,3+,2.202088920793783,3.330770290294537e-14,1.7873344847244363,2.7130879287154555,1.4317580361507385,1.3277137455976469,1.543955601031666,1.1197205474193453e-20,20434,16556,139,248,68816,,,,,
,The Genomics England PanelApp,4+,4.5168581616481775,9.140944112382618e-39,3.669827407710325,5.559391596886284,3.1809973095492574,2.7924402610898387,3.623620538765063,6.97877577902238e-68,32573,4417,240,147,68816,,,,,
