metric,year,tier_index,layer_label,cumulative,layer
disease genes,2006,1,EUR common,1,1.0
disease genes,2006,2,non-EUR common,1,0.0
disease genes,2006,3,mixed common,1,0.0
disease genes,2006,4,rare,1,0.0
disease genes,2007,1,EUR common,41,41.0
disease genes,2007,2,non-EUR common,41,0.0
disease genes,2007,3,mixed common,41,0.0
disease genes,2007,4,rare,41,0.0
disease genes,2008,1,EUR common,118,118.0
disease genes,2008,2,non-EUR common,119,1.0
disease genes,2008,3,mixed common,119,0.0
disease genes,2008,4,rare,119,0.0
disease genes,2009,1,EUR common,211,211.0
disease genes,2009,2,non-EUR common,227,16.0
disease genes,2009,3,mixed common,227,0.0
disease genes,2009,4,rare,227,0.0
disease genes,2010,1,EUR common,330,330.0
disease genes,2010,2,non-EUR common,359,29.0
disease genes,2010,3,mixed common,360,1.0
disease genes,2010,4,rare,360,0.0
disease genes,2011,1,EUR common,469,469.0
disease genes,2011,2,non-EUR common,546,77.0
disease genes,2011,3,mixed common,551,5.0
disease genes,2011,4,rare,552,1.0
disease genes,2012,1,EUR common,663,663.0
disease genes,2012,2,non-EUR common,774,111.0
disease genes,2012,3,mixed common,785,11.0
disease genes,2012,4,rare,787,2.0
disease genes,2013,1,EUR common,830,830.0
disease genes,2013,2,non-EUR common,962,132.0
disease genes,2013,3,mixed common,993,31.0
disease genes,2013,4,rare,996,3.0
disease genes,2014,1,EUR common,951,951.0
disease genes,2014,2,non-EUR common,1092,141.0
disease genes,2014,3,mixed common,1148,56.0
disease genes,2014,4,rare,1152,4.0
disease genes,2015,1,EUR common,1107,1107.0
disease genes,2015,2,non-EUR common,1261,154.0
disease genes,2015,3,mixed common,1327,66.0
disease genes,2015,4,rare,1332,5.0
disease genes,2016,1,EUR common,1257,1257.0
disease genes,2016,2,non-EUR common,1443,186.0
disease genes,2016,3,mixed common,1519,76.0
disease genes,2016,4,rare,1525,6.0
disease genes,2017,1,EUR common,1605,1605.0
disease genes,2017,2,non-EUR common,1808,203.0
disease genes,2017,3,mixed common,1909,101.0
disease genes,2017,4,rare,1923,14.0
disease genes,2018,1,EUR common,2301,2301.0
