studyLocusId,studyId,absEstimatedBeta,year,nSamples
13575c752b770a2ce8132a869d70fb89,GCST90302234,0.08323419814788886,2023,96432
0439c9fcb5b9f1bcfe028f50be1c0a2c,GCST011048,0.04572197873299107,2021,177526
2f1074a06266047cb2ac107761cf7f07,GCST90435597,0.16319268061049433,2018,406220
80bf98a2751cdc0f3c21ee973f31dfce,GCST006409,0.05468801655888502,2018,212120
ecddb9042e49fe7ff958e07d1d66b204,GCST007856,0.04893279923606679,2018,125478
1ec81e575b1f29a68f6645db378ef2bc,GCST90479943,0.06043645460042485,2024,607460
58277de1e5b50a25eaceaca6d92cb515,GCST90245895,0.07273461181586499,2022,344508
e45a66f7a5b6a37f8eda53869e5e4f29,GCST009722,0.1315784308071269,2020,351696
f288cb542718cb8882a438fc328073f2,GCST90301393,0.08298606008032938,2023,454768
f7d6f3b46b418f713a979479fd3da80b,GCST90027060,0.17781617291350849,2021,125644
322436bd6dc5edd838adda1e203f6840,FINNGEN_R12_K11_HERNIA,0.07866710678272751,2024,500348
89f0c7fa7cdaf89ab2c0bcbbc75aac15,GCST90019016,0.10921895265926976,2021,44161
6cbef22350b908777aff33f0a54b9df0,GCST90429186,0.03620204652366868,2021,889018
0ff5b45ef9ab1df0571fd587a570f81e,GCST90446533,0.0651497538455508,2023,459138
c62675aad5fd2b85cd92d782845af26b,GCST90559230,0.053880064733500294,2025,1650345
91563f02b4fa0f0f22bb286aa8b07991,GCST90432152,0.12350802678420948,2023,1125328
d1620b33677731a1de9742688c5b626a,GCST004145,0.3020425123398793,2017,2886
05219a106ee50d384bfe15c01ea394f3,GCST010042,0.06055679921576829,2020,303859
15ba8e8ec4e44dd3cb3edb95cc848b3a,GCST003987,0.09210446437769029,2016,157242
890d74b15854daf3112b2c00c51eb106,GCST90011804,0.06546538393004708,2020,428231
498ea41a65e0520be21ff82de4b3c48c,GCST90014325,0.05814035234509517,2021,408422
c4670c34b7b7ea93090e351ad0d196c3,GCST90244768,0.09538877875395778,2023,150272
f7c007f157a214de2bc24417de46b319,GCST90399746,0.0742084427358147,2022,454926
1344b8b648e401b050b11aa8c8fa05bc,GCST90492734,0.021050491171240162,2024,2535601
520e72f53d773b325cd2fa91d9aa1a3a,GCST90455677,0.05859047465528203,2024,1011521
c1a5e6244aadcf621383b496d0c737f0,GCST90018863,0.15208960850500283,2021,647847
9f6f61dd2690ee4aa4a9129f4fe67b30,GCST90132222,0.037466668582906655,2022,276020
63c517394b5ccbf4f13d01ac60915fd2,FINNGEN_R12_O15_AMNIOT_OTHER,0.1792140180562536,2024,227252
44506eb2265c879636380d5e9e559fc9,GCST011096,0.1419441627300166,2021,25268
5e75b0e9e2474409ac86085d31e8cf9b,FINNGEN_R12_E4_PARATHYRO,0.33051165348337697,2024,487724
3eb8fd642986b9b4e3fbbc269fe5130a,GCST90043880,0.1459846123686684,2021,456348
4d58508db0d88f0cc2086d46040e3b03,FINNGEN_R12_H7_GLAUCSUSP,0.17375536541310277,2024,489170
65a2bf584297d24107dc9639ee990daa,GCST006061,0.09819579867716677,2018,588190
a0aa732eaad9ac35aea0e82ee3f71ef9,FINNGEN_R12_FG_CVD,0.0362787689310753,2024,500348
dedc3b4cffc3d7a7013025f25a632184,GCST90129443,0.051432953732466404,2023,385514
55e63f403bdb7bc56dd041fdd1c61380,GCST90096803,0.13924776542390369,2022,439533
33282707b0a3fee1f85dadbb23f4494d,GCST011956,0.12486982212318622,2020,208370
a317a3dcb381f838650842cbdff908e7,FINNGEN_R12_L12_PILONIDALCYST,0.13969566578608167,2024,474291
806ac16bd8c530c3c697932bfacce85a,GCST009720,0.07504865723250997,2019,281699
cc12984a833ebfc0753639a9e299f08a,FINNGEN_R12_AUTOIMMUNE,0.05053431173469638,2024,500348
cc82f1be18d9b0545868d56ce2e1b4a6,GCST90492734,0.015225648104331229,2024,2535601
