covariate,covariate_label,model_type,coefficient,std_error,p_value,ci_lower,ci_upper,y_numerical,y_plot
maxAbsBetaNormalised,Absolute beta,Univariate,1.8767344682989402,0.07398891782210182,6.127881465304937e-142,1.7317188541125268,2.0217500824853536,0,-0.1
maxMAFNormalised,MAF,Univariate,0.3979453573818787,0.02298613664083515,3.79223641692019e-67,0.3528933574221253,0.4429973573416321,1,0.9
maxEffectiveSampleSizeNormalised,Sample size,Univariate,0.8062446638257157,0.03968879837865976,9.638153076779396e-92,0.7284560484138709,0.8840332792375605,2,1.9
gerpNormalisedNormalised,GERP,Univariate,0.40082953656081993,0.027282289580713794,7.261381508048554e-49,0.3473572315668285,0.45430184155481135,3,2.9
vepBinaryNormalised,PAV,Univariate,0.7496357129097045,0.03330980595633773,3.711809502604735e-112,0.6843496929032649,0.8149217329161442,4,3.9
predictedPowerNormalised,Predicted power,Univariate,1.3918228528748193,0.015415261689057151,0.0,1.3616094951520072,1.4220362105976314,5,4.9
maxAbsBetaNormalised,Absolute beta,Multi,0.33103083014425727,0.07514290770617997,1.0561307291427536e-05,0.18375343734652724,0.47830822294198727,0,0.1
maxMAFNormalised,MAF,Multi,0.35594927847644914,0.022642542439742154,1.0967108240251454e-55,0.31157071077613485,0.4003278461767634,1,1.1
maxEffectiveSampleSizeNormalised,Sample size,Multi,0.2654538509674314,0.036193537520243756,2.229022422078048e-13,0.1945158209546545,0.33639188098020834,2,2.1
gerpNormalisedNormalised,GERP,Multi,0.14733044425742967,0.02656532878523552,2.9233349206543856e-08,0.09526335660090285,0.19939753191395648,3,3.1
vepBinaryNormalised,PAV,Multi,0.2579783318888444,0.03247538334921687,1.960610716643607e-15,0.19432775014024756,0.3216289136374412,4,4.1
predictedPowerNormalised,Predicted power,Multi,1.2990123621614773,0.01676679851640096,0.0,1.2661500409332918,1.3318746833896629,5,5.1
