covariate,covariate_label,model_type,coefficient,std_error,p_value,ci_lower,ci_upper,y_numerical,y_plot
maxAbsBetaNormalised,Absolute beta,Univariate,1.8852198799288553,0.07421286600227227,2.344218660308935e-142,1.7397653353749047,2.030674424482806,0,-0.1
maxMAFNormalised,MAF,Univariate,0.40080094084295664,0.023008132743352065,5.820947413533028e-68,0.35570582931446987,0.4458960523714434,1,0.9
maxEffectiveSampleSizeNormalised,Sample size,Univariate,0.8147009617904709,0.03979693416861142,3.869321955054982e-93,0.736700404124881,0.8927015194560608,2,1.9
gerpNormalisedNormalised,GERP,Univariate,0.4040340311750698,0.027318662774558175,1.7078687429898054e-49,0.3504904360311407,0.4575776263189989,3,2.9
vepBinaryNormalised,PAV,Univariate,0.7531507746910998,0.03335990774961242,7.37231542500547e-113,0.6877665569742808,0.8185349924079188,4,3.9
predictedPowerNormalised,Predicted power,Univariate,1.3973975437855635,0.015425325603242978,0.0,1.3671644611534037,1.4276306264177232,5,4.9
maxAbsBetaNormalised,Absolute beta,Multi,0.328928038715086,0.07520318394982249,1.2206986538223456e-05,0.1815325066506933,0.47632357077947873,0,0.1
maxMAFNormalised,MAF,Multi,0.35717903593812933,0.02264550179428574,4.8011166594029055e-56,0.3127946680094921,0.40156340386676653,1,1.1
maxEffectiveSampleSizeNormalised,Sample size,Multi,0.2641517434693242,0.03622423726404467,3.050990430206601e-13,0.1931535430643629,0.3351499438742855,2,2.1
gerpNormalisedNormalised,GERP,Multi,0.14757365788582955,0.026571135331125838,2.793515363632906e-08,0.09549518960848313,0.19965212616317596,3,3.1
vepBinaryNormalised,PAV,Multi,0.25822900861164655,0.03246586336347021,1.8078497010819804e-15,0.1945970856922465,0.32186093153104656,4,4.1
predictedPowerNormalised,Predicted power,Multi,1.3042371851960881,0.01678496271267594,0.0,1.2713392627973956,1.3371351075947806,5,5.1
