studyId,diseaseIds,diseaseNames,mappedTherapeuticAreas,therapeuticAreaNames,estimatedBeta,pValueMantissa,pValueExponent,neg_log10_p
FINNGEN_R12_AB1_ERYSIPELAS,['EFO_1001462'],['erysipelas'],['EFO_0005741'],infectious disease,-0.062054858862164004,2.151,-8,7.6673595905303955
FINNGEN_R12_AB1_OTHER_BACTERIAL,['EFO_0000771'],['bacterial disease'],['EFO_0005741'],infectious disease,-0.06019635400503173,7.513,-15,14.124186635017395
FINNGEN_R12_AD_AM_EXMORE,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,0.9450170692284517,7.709,-204,203.11300194263458
FINNGEN_R12_AD_EO_EXMORE,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,1.335099831638937,5.164,-219,218.28701376914978
FINNGEN_R12_AD_LO_EXMORE,['EFO_1001870'],['late-onset Alzheimers disease'],['EFO_0000618'],nervous system disease,0.6997320453437864,2.225,-308,307.6526699960232
FINNGEN_R12_AD_U_EXMORE,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,1.2456056041992192,2.34,-54,53.63078415393829
FINNGEN_R12_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS,"['MONDO_0004979', 'MONDO_0024355']","['asthma', 'respiratory tract infectious disorder']","['EFO_0005741', 'OTAR_0000010']",infectious disease,-0.06754809310290714,3.117,-8,7.506263196468353
FINNGEN_R12_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS,"['MONDO_0004979', 'MONDO_0024355']","['asthma', 'respiratory tract infectious disorder']","['EFO_0005741', 'OTAR_0000010']",respiratory or thoracic disease,-0.06754809310290714,3.117,-8,7.506263196468353
FINNGEN_R12_ASTHMA_INFECTIONS,"['EFO_0000544', 'MONDO_0004979']","['infection', 'asthma']","['other', 'OTAR_0000010']",other,-0.059931969393056964,1.282,-8,7.892111994326115
FINNGEN_R12_ASTHMA_INFECTIONS,"['EFO_0000544', 'MONDO_0004979']","['infection', 'asthma']","['other', 'OTAR_0000010']",respiratory or thoracic disease,-0.059931969393056964,1.282,-8,7.892111994326115
FINNGEN_R12_ASTHMA_NAS,['MONDO_0004979'],['asthma'],['OTAR_0000010'],respiratory or thoracic disease,-0.0659082375802893,1.054,-9,8.97715938091278
FINNGEN_R12_DRY_AMD,['MONDO_0100114'],['dry age related macular degeneration'],['MONDO_0024458'],disorder of visual system,-0.1823379140694423,1.678,-20,19.775208055973053
FINNGEN_R12_E4_HYPERCHOL,['EFO_0004911'],['familial hypercholesterolemia'],['OTAR_0000020'],nutritional or metabolic disease,0.15170114995269143,1.712,-62,61.76649624109268
FINNGEN_R12_E4_HYPERLIPNAS,['MONDO_0021187'],['hyperlipidemia'],['OTAR_0000020'],nutritional or metabolic disease,0.14731654579904335,1.437,-26,25.842543214559555
FINNGEN_R12_E4_LIPOPROT,['Orphanet_309005'],['Disorder of lipid metabolism'],['OTAR_0000020'],nutritional or metabolic disease,0.14798738507312142,7.925,-79,78.10100072622299
FINNGEN_R12_E4_METABOLIA,['EFO_0000589'],['metabolic disease'],['OTAR_0000020'],nutritional or metabolic disease,0.10419295874223951,2.736,-51,50.562883883714676
FINNGEN_R12_F5_ALZHDEMENT,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,0.7613084747810965,2.225,-308,307.6526699960232
FINNGEN_R12_F5_DELIRIUM,['EFO_0009267'],['delirium'],['EFO_0000618'],nervous system disease,0.4830101692966648,2.785,-70,69.55517479777336
FINNGEN_R12_F5_DELUSIO,['MONDO_0004359'],['delusional disorder'],['EFO_0000618'],nervous system disease,0.19911429670516925,1.879,-9,8.726073235273361
