studyId,diseaseIds,diseaseNames,mappedTherapeuticAreas,therapeuticAreaNames,estimatedBeta,pValueMantissa,pValueExponent,neg_log10_p
FINNGEN_R12_AD_LO_EXMORE,['EFO_1001870'],['late-onset Alzheimers disease'],['EFO_0000618'],nervous system disease,-0.5381484528288454,1.893,-55,54.722849398851395
FINNGEN_R12_E4_FH_IHD,['EFO_0004911'],['familial hypercholesterolemia'],['OTAR_0000020'],nutritional or metabolic disease,-0.44440687114179883,9.663,-16,15.014887988567352
FINNGEN_R12_F5_ALZHDEMENT,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,-0.4683264043565447,4.154,-36,35.38153350353241
FINNGEN_R12_F5_DEMENTIA,['HP_0000726'],['Dementia'],['other'],other,-0.3699006977784921,2.483,-66,65.60502326488495
FINNGEN_R12_F5_DEMENTIA_INCLAVO,['MONDO_0001627'],['dementia'],['EFO_0000618'],nervous system disease,-0.36008927248451744,3.291,-67,66.48267215490341
FINNGEN_R12_G6_AD_WIDE,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,-0.5009537799174156,7.384,-55,54.131708323955536
FINNGEN_R12_G6_ALZHEIMER,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,-0.4640772322359741,3.436,-60,59.46394681930542
FINNGEN_R12_G6_NEURODEGENERATIVE,['EFO_0005772'],['neurodegenerative disease'],['EFO_0000618'],nervous system disease,-0.43006657943010185,1.695,-74,73.7708302885294
FINNGEN_R12_I9_ANGINA,['EFO_0003913'],['angina pectoris'],['other'],other,-0.1691110806531481,9.48,-25,24.023191690444946
FINNGEN_R12_I9_ANGIO,['EFO_0003951'],['percutaneous transluminal coronary angioplasty'],['other'],other,-0.19851576032598553,1.959,-15,14.707965552806854
FINNGEN_R12_I9_CABG,['EFO_0003776'],['coronary artery bypass'],['other'],other,-0.2795032093645937,2.121,-22,21.673459321260452
FINNGEN_R12_I9_CHD,['EFO_0001645'],['coronary artery disease'],['EFO_0000319'],cardiovascular disease,-0.17692801490634114,3.467,-33,32.46004617214203
FINNGEN_R12_I9_CORATHER,['MONDO_0021661'],['coronary atherosclerosis'],['EFO_0000319'],cardiovascular disease,-0.1784465102378767,9.842,-37,36.006916642189026
FINNGEN_R12_I9_CVD_HARD,['EFO_0000319'],['cardiovascular disease'],['other'],other,-0.11618737819508765,6.209,-20,19.20697832107544
FINNGEN_R12_I9_IHD,['EFO_1001375'],['Myocardial Ischemia'],['EFO_0000319'],cardiovascular disease,-0.1575541274884704,1.807,-36,35.74304184317589
FINNGEN_R12_I9_MI_STRICT,['EFO_0000612'],['myocardial infarction'],['EFO_0000319'],cardiovascular disease,-0.22038653554830626,2.574,-30,29.589391469955444
FINNGEN_R12_I9_POSTAMI,['EFO_0008583'],['acute myocardial infarction'],['EFO_0000319'],cardiovascular disease,-0.32013421388786883,3.375,-9,8.47172623872757
FINNGEN_R12_I9_UAP,['EFO_1000985'],['intermediate coronary syndrome'],['EFO_0000319'],cardiovascular disease,-0.19251999007921022,4.514,-14,13.345438480377197
FINNGEN_R12_K11_CHOLELITH,['EFO_0004799'],['cholelithiasis'],['EFO_0010282'],gastrointestinal disease,0.09183691365644027,4.128,-9,8.384260356426239
FINNGEN_R12_KRA_PSY_DEMENTIA_EXMORE,['HP_0000726'],['Dementia'],['other'],other,-0.3704271361689477,1.384,-56,55.858863934874535
FINNGEN_R12_NEURODEGOTH,['EFO_0005772'],['neurodegenerative disease'],['EFO_0000618'],nervous system disease,-0.27860534856640146,2.063,-29,28.685500770807266
GCST004787,['EFO_0001645'],['coronary artery disease'],['EFO_0000319'],cardiovascular disease,-0.2071560122224616,2.0,-19,18.69896999001503
GCST005194,['EFO_0001645'],['coronary artery disease'],['EFO_0000319'],cardiovascular disease,-0.1873844768888778,1.658855,-35,34.78019158542156
GCST005195,['EFO_0001645'],['coronary artery disease'],['EFO_0000319'],cardiovascular disease,-0.09154300078183246,7.2664623,-27,26.13867700099945
GCST005196,['EFO_0001645'],['coronary artery disease'],['EFO_0000319'],cardiovascular disease,-0.14428725865852016,3.0,-39,38.52287873625755
GCST008370,['EFO_0001645'],['coronary artery disease'],['EFO_0000319'],cardiovascular disease,-0.12751452277390943,1.6875597,-16,15.772740840911865
GCST011365,['EFO_0000612'],['myocardial infarction'],['EFO_0000319'],cardiovascular disease,-0.10708262608468443,8.672079,-22,21.06187677383423
GCST90018657,['EFO_0000612'],['myocardial infarction'],['EFO_0000319'],cardiovascular disease,-0.15247075840048485,2.037,-9,8.691008985042572
GCST90018793,['EFO_0003913'],['angina pectoris'],['other'],other,-0.10777961304384988,1.1654606,-16,15.933502405881882
GCST90018877,['EFO_0000612'],['myocardial infarction'],['EFO_0000319'],cardiovascular disease,-0.1274643970474396,5.1910768,-19,18.284742534160614
GCST90018915,['EFO_0003913'],['angina pectoris'],['other'],other,-0.11481212121652339,8.183317,-16,15.087070643901825
GCST90043957,['MONDO_0021661'],['coronary atherosclerosis'],['EFO_0000319'],cardiovascular disease,-0.1694918315122155,1.1389726,-15,14.943486709147692
GCST90044347,['EFO_0000612'],['myocardial infarction'],['EFO_0000319'],cardiovascular disease,-0.17501644262524133,1.4076289,-11,10.85151182115078
GCST90077883,['HP_0003124'],['Hypercholesterolemia'],['other'],other,-0.3967972953517437,1.792,-236,235.74666199088097
GCST90077884,['HP_0003124'],['Hypercholesterolemia'],['other'],other,-0.3764675668193526,1.004,-187,186.99826630949974
GCST90079443,['EFO_0003913'],['angina pectoris'],['other'],other,-0.16326423168292012,3.555,-12,11.449160397052765
GCST90079766,['HP_0003124'],['Hypercholesterolemia'],['other'],other,-0.32242010901795004,3.377,-133,132.47146892547607
GCST90079768,['HP_0003077'],['Hyperlipidemia'],['other'],other,-0.3268820812416736,1.603,-150,149.79506646096706
GCST90081466,['EFO_0001645'],['coronary artery disease'],['EFO_0000319'],cardiovascular disease,-0.15527459725375248,3.083,-21,20.511026471853256
GCST90435753,['EFO_0000589'],['metabolic disease'],['OTAR_0000020'],nutritional or metabolic disease,-0.2630203358312515,3.8787096,-73,72.41131275892258
GCST90435754,['MONDO_0021187'],['hyperlipidemia'],['OTAR_0000020'],nutritional or metabolic disease,-0.26144374972348416,3.8813417,-72,71.41101813316345
GCST90435755,['HP_0003124'],['Hypercholesterolemia'],['other'],other,-0.2659856459360433,9.426045,-70,69.02567046880722
GCST90436073,['EFO_0000612'],['myocardial infarction'],['EFO_0000319'],cardiovascular disease,-0.15695570152741684,2.112365,-10,9.675231039524078
GCST90436074,['EFO_0003913'],['angina pectoris'],['other'],other,-0.17214416168677338,3.799207,-16,15.420307040214539
GCST90436075,['MONDO_0021661'],['coronary atherosclerosis'],['EFO_0000319'],cardiovascular disease,-0.17396411126846037,7.991309,-20,19.097382068634033
GCST90436077,['EFO_0003777'],['heart disease'],['EFO_0000319'],cardiovascular disease,-0.15062807222186128,7.086732,-12,11.149554014205933
GCST90475242,['HP_0003124'],['Hypercholesterolemia'],['other'],other,-0.12923354447777258,1.99,-22,21.70114693045616
GCST90475720,['HP_0003124'],['Hypercholesterolemia'],['other'],other,-0.310276771166785,4.669,-61,60.33077609539032
GCST90475721,['HP_0003124'],['Hypercholesterolemia'],['other'],other,-0.27060613842004366,2.0989432,-129,128.67799931764603
GCST90475929,['EFO_0001645'],['coronary artery disease'],['EFO_0000319'],cardiovascular disease,-0.09156396999655782,2.0,-26,25.69896999001503
GCST90475936,['MONDO_0021661'],['coronary atherosclerosis'],['EFO_0000319'],cardiovascular disease,-0.10834441034442523,3.0,-34,33.52287873625755
GCST90476371,['HP_0003124'],['Hypercholesterolemia'],['other'],other,-0.13886969251843703,1.0,-22,22.0
GCST90476662,['HP_0003124'],['Hypercholesterolemia'],['other'],other,-0.20996381385045249,1.614,-10,9.792096480727196
GCST90476898,['HP_0003124'],['Hypercholesterolemia'],['other'],other,-0.17202954347156188,3.114037,-10,9.506676226854324
GCST90479572,['HP_0003124'],['Hypercholesterolemia'],['other'],other,-0.13377399962878123,4.1444864,-29,28.382529258728027
GCST90479694,['HP_0003124'],['Hypercholesterolemia'],['other'],other,-0.15126990383604727,4.2787924,-36,35.36867880821228
GCST90480130,['EFO_0000612'],['myocardial infarction'],['EFO_0000319'],cardiovascular disease,-0.09269329025583464,3.038564,-14,13.517331629991531
GCST90480134,['EFO_0001645'],['coronary artery disease'],['EFO_0000319'],cardiovascular disease,-0.0704961303494369,2.3071082,-21,20.63693204522133
GCST90480193,['EFO_0009677'],['occlusion precerebral artery'],['EFO_0000319'],cardiovascular disease,-0.10211402605966693,2.0,-11,10.69896999001503
