CHR,GeneName,TranscriptId,allhetRA,sum_homAA,homAlt_aaf,comp_het,compHet_aaf,sum_KO,inExternalDataset
12,A2ML1,ENST00000299698,94299,225,0.004895919,29,3.04E-05,254,TRUE
1,A3GALT2,ENST00000442999,252,2,6.81E-05,2,2.09E-06,4,FALSE
3,AADAC,ENST00000232892,161,4,2.95E-05,0,0,4,TRUE
3,AADACL2,ENST00000356517,662,2,0.000118445,3,3.14E-06,5,FALSE
1,AADACL3,ENST00000359318,46,1,1.02E-06,0,0,1,FALSE
20,AAR2,ENST00000320849,2544,1,0.001092503,0,0,1,FALSE
8,AARD,ENST00000378279,1742,1,0.000813867,0,0,1,TRUE
17,AARSD1,ENST00000427569,1878,3,0.000409221,2,2.09E-06,5,TRUE
4,AASDH,ENST00000205214,1645,2,9.81E-05,0,0,2,TRUE
17,AATK,ENST00000326724,369,1,3.56E-06,0,0,1,FALSE
17,ABCA10,ENST00000269081,334379,177,0.004756165,93,9.74E-05,270,TRUE
7,ABCA13,ENST00000435803,11269,18,0.002058843,31,3.25E-05,49,TRUE
1,ABCA4,ENST00000370225,1711,1,2.64E-05,0,0,1,FALSE
17,ABCA5,ENST00000392676,2563,6,0.000292832,0,0,6,TRUE
17,ABCA6,ENST00000284425,3882,7,0.00075504,0,0,7,TRUE
19,ABCA7,ENST00000263094,14302,18,0.004594133,33,3.46E-05,51,TRUE
17,ABCA8,ENST00000586539,17788,316,0.008302429,30,3.14E-05,346,TRUE
17,ABCA9,ENST00000340001,6228,10,0.001680102,8,8.38E-06,18,TRUE
2,ABCB11,ENST00000650372,492,1,1.68E-05,0,0,1,FALSE
7,ABCB5,ENST00000404938,91387,57,0.005241351,121,0.0001267,178,TRUE
7,ABCB8,ENST00000358849,543,1,1.53E-05,0,0,1,FALSE
12,ABCB9,ENST00000280560,897,1,0.000266908,0,0,1,TRUE
6,ABCC10,ENST00000372530,1295,1,1.68E-05,0,0,1,TRUE
16,ABCC11,ENST00000356608,34698,9,0.003275826,16,1.68E-05,25,TRUE
16,ABCC12,ENST00000311303,71296,173,0.009708583,74,7.75E-05,247,TRUE
10,ABCC2,ENST00000647814,3495,5,0.000647136,4,4.19E-06,9,TRUE
17,ABCC3,ENST00000285238,4161,5,0.001087871,2,2.09E-06,7,TRUE
16,ABCC6,ENST00000205557,5582,9,0.001719745,4,4.19E-06,13,TRUE
12,ABCC9,ENST00000261200,1873,10,0.00060371,0,0,10,TRUE
6,ABCF1,ENST00000326195,460,1,4.02E-05,0,0,1,FALSE
4,ABCG2,ENST00000237612,2700,4,0.000123026,0,0,4,TRUE
2,ABCG5,ENST00000405322,925,1,8.13E-06,0,0,1,FALSE
