pointLabel,pointLabelPosition,fillLabel,percentage,consequence,studyType,totalCountPerStudyTypeAndConsequence,totalCountPerStudyType,totalCountPerConsequence,cumulativeSum,label_to_show
41.89%,0.20945040214477212,intragenic,0.41890080428954424,intragenic,cis-pqtl,625,1492,250448,0.41890080428954424,41.89%
17.16%,0.5046916890080428,enhancer,0.17158176943699732,enhancer,cis-pqtl,256,1492,69977,0.5904825737265416,17.16%
10.86%,0.6447721179624665,intergenic,0.10857908847184987,intergenic,cis-pqtl,162,1492,63833,0.6990616621983914,10.86%
11.80%,0.7580428954423591,promoter,0.11796246648793565,promoter,cis-pqtl,176,1492,44543,0.817024128686327,11.80%
18.30%,0.9085120643431636,protein_altering,0.18297587131367293,protein_altering,cis-pqtl,273,1492,30715,1.0,18.30%
56.50%,0.28247826688463307,intragenic,0.5649565337692661,intragenic,eqtl,200098,354183,250448,0.5649565337692661,56.50%
15.42%,0.6420706245076697,enhancer,0.1542281814768072,enhancer,eqtl,54625,354183,69977,0.7191847152460733,15.42%
12.62%,0.7822622768455854,intergenic,0.12615512319902422,intergenic,eqtl,44682,354183,63833,0.8453398384450975,12.62%
11.57%,0.9031757594238007,promoter,0.1156718419574062,promoter,eqtl,40969,354183,44543,0.9610116804025037,11.57%
3.90%,0.9805058402012519,protein_altering,0.03898831959749621,protein_altering,eqtl,13809,354183,30715,1.0,
48.03%,0.24015282810776745,intragenic,0.4803056562155349,intragenic,gwas-disease,6097,12694,250448,0.4803056562155349,48.03%
15.87%,0.5596344729793603,enhancer,0.15865763352765086,enhancer,gwas-disease,2014,12694,69977,0.6389632897431857,15.87%
17.17%,0.7248306286434535,intergenic,0.1717346778005357,intergenic,gwas-disease,2180,12694,63833,0.8106979675437214,17.17%
2.52%,0.823302347565779,promoter,0.02520876004411533,promoter,gwas-disease,320,12694,44543,0.8359067275878367,
16.41%,0.9179533637939182,protein_altering,0.16409327241216323,protein_altering,gwas-disease,2083,12694,30715,0.9999999999999999,16.41%
47.87%,0.23932767946284572,intragenic,0.47865535892569144,intragenic,gwas-measurement,43628,91147,250448,0.47865535892569144,47.87%
14.35%,0.5504185546425006,enhancer,0.14352639143361823,enhancer,gwas-measurement,13082,91147,69977,0.6221817503593097,14.35%
18.44%,0.7143899415230341,intergenic,0.18441638232744906,intergenic,gwas-measurement,16809,91147,63833,0.8065981326867587,18.44%
3.38%,0.823482945132588,promoter,0.03376962489165853,promoter,gwas-measurement,3078,91147,44543,0.8403677575784173,
15.96%,0.9201838787892086,protein_altering,0.15963224242158272,protein_altering,gwas-measurement,14550,91147,30715,1.0,15.96%
