consequence,studyType,meanAbsEstimatedBeta,stddevAbsEstimatedBeta,intervalAbsEstimatedBeta,variantCount,label,study_category
protein_altering,gwas-disease,0.3164515697162672,0.3780435611806819,0.016235036971288294,2083,protein_altering / N=2083 / β̂=0.316±0.016,diseases
intergenic,gwas-disease,0.20416004951100633,0.26771044219271284,0.011238106306326478,2180,intergenic / N=2180 / β̂=0.204±0.011,diseases
enhancer,gwas-disease,0.1660597108376264,0.2100473982382211,0.009173681223480305,2014,enhancer / N=2014 / β̂=0.166±0.009,diseases
promoter,gwas-disease,0.1518418635137712,0.1815377039098844,0.019890601674664814,320,promoter / N=320 / β̂=0.152±0.02,diseases
intragenic,gwas-disease,0.18652059485527295,0.2394770590115274,0.00601120985660768,6097,intragenic / N=6097 / β̂=0.187±0.006,diseases
enhancer,gwas-measurement,0.07318291872230644,0.12994473750657054,0.002226781964391352,13082,enhancer / N=13082 / β̂=0.073±0.002,measurements
intergenic,gwas-measurement,0.08012344821374486,0.14665415357894446,0.002217070485290028,16809,intergenic / N=16809 / β̂=0.08±0.002,measurements
intragenic,gwas-measurement,0.08595375723048279,0.1568118166468308,0.001471472686817243,43628,intragenic / N=43628 / β̂=0.086±0.001,measurements
promoter,gwas-measurement,0.10085330114994685,0.22847933445417123,0.008071768330551806,3078,promoter / N=3078 / β̂=0.101±0.008,measurements
protein_altering,gwas-measurement,0.16063228972489305,0.24591872552481292,0.003995914380440866,14550,protein_altering / N=14550 / β̂=0.161±0.004,measurements
