id	section	description	expected	tolerance	tex_source	status	notebook
RR14.01	R2-MJ-14	genes with credible sets in both areas, 2026-08-18 basis	207	0		pending	03-supp/15_immunity_infection_directionality
RR14.02	R2-MJ-14	gene-lead-variant pairs carrying both areas, 2026-08-18 basis	59	0		pending	03-supp/15_immunity_infection_directionality
RR14.03	R2-MJ-14	distinct genes among those pairs, 2026-08-18 basis	44	0		pending	03-supp/15_immunity_infection_directionality
RR14.04	R2-MJ-14	distinct lead variants among those pairs, 2026-08-18 basis	58	0		pending	03-supp/15_immunity_infection_directionality
RR14.05	R2-MJ-14	pairs with a direction on both sides, 2026-08-18 basis	50	0		pending	03-supp/15_immunity_infection_directionality
RR14.06	R2-MJ-14	concordant pairs, 2026-08-18 basis	34	0		pending	03-supp/15_immunity_infection_directionality
RR14.07	R2-MJ-14	discordant pairs, 2026-08-18 basis	16	0		pending	03-supp/15_immunity_infection_directionality
RR14.08	R2-MJ-14	undetermined pairs, 2026-08-18 basis	9	0		pending	03-supp/15_immunity_infection_directionality
RR14.09	R2-MJ-14	discordant share of determined (%), 2026-08-18 basis	32.0	0.05		pending	03-supp/15_immunity_infection_directionality
RR14.10	R2-MJ-14	control pairs exposed to the minor-allele flip	39	0		pending	03-supp/15_immunity_infection_directionality
RR14.11	R2-MJ-14	discordant control pairs exposed to the minor-allele flip	10	0		pending	03-supp/15_immunity_infection_directionality
RR14.12	R2-MJ-14	control pairs whose verdict the minor-allele column would move	2	0		pending	03-supp/15_immunity_infection_directionality
RR14.13	R2-MJ-14	discordant control pairs the minor-allele column would move	0	0		pending	03-supp/15_immunity_infection_directionality
RR14.14	R2-MJ-14	genes with gated credible sets in both areas	115	0		pending	03-supp/15_immunity_infection_directionality
RR14.15	R2-MJ-14	gated gene-lead-variant pairs carrying both areas	34	0		pending	03-supp/15_immunity_infection_directionality
RR14.16	R2-MJ-14	distinct genes among the gated pairs	28	0		pending	03-supp/15_immunity_infection_directionality
RR14.17	R2-MJ-14	distinct lead variants among the gated pairs	34	0		pending	03-supp/15_immunity_infection_directionality
RR14.18	R2-MJ-14	gated pairs with a direction on both sides	32	0		pending	03-supp/15_immunity_infection_directionality
RR14.19	R2-MJ-14	gated concordant pairs	21	0		pending	03-supp/15_immunity_infection_directionality
RR14.20	R2-MJ-14	gated discordant pairs	11	0		pending	03-supp/15_immunity_infection_directionality
RR14.21	R2-MJ-14	gated undetermined pairs	2	0		pending	03-supp/15_immunity_infection_directionality
RR14.22	R2-MJ-14	gated discordant share of determined (%)	34.4	0.05		pending	03-supp/15_immunity_infection_directionality
RR14.23	R2-MJ-14	control pairs dropped by the gate	25	0		pending	03-supp/15_immunity_infection_directionality
RR14.24	R2-MJ-14	pairs the gate adds, absent from the control set	0	0		pending	03-supp/15_immunity_infection_directionality
RR14.25	R2-MJ-14	dropped pairs losing the infection side	21	0		pending	03-supp/15_immunity_infection_directionality
RR14.26	R2-MJ-14	dropped pairs losing the immune side	5	0		pending	03-supp/15_immunity_infection_directionality
RR14.27	R2-MJ-14	lead variants with at least two gated diseases	5919	0		pending	03-supp/15_immunity_infection_directionality
RR14.28	R2-MJ-14	of those, with at least one opposing direction	1051	0		pending	03-supp/15_immunity_infection_directionality
RR14.29	R2-MJ-14	that share (%)	17.8	0.05		pending	03-supp/15_immunity_infection_directionality
RR14.30	R2-MJ-14	disease pairs on a gated lead variant	35997	0		pending	03-supp/15_immunity_infection_directionality
RR14.31	R2-MJ-14	discordant share of all disease pairs (%)	20.1	0.05		pending	03-supp/15_immunity_infection_directionality
RR14.32	R2-MJ-14	disease pairs whose two terms share no therapeutic area	19147	0		pending	03-supp/15_immunity_infection_directionality
RR14.33	R2-MJ-14	discordant share of cross-area disease pairs (%)	26.6	0.05		pending	03-supp/15_immunity_infection_directionality
RR14.34	R2-MJ-14	immune-against-infection disease pairs on one lead variant	97	0		pending	03-supp/15_immunity_infection_directionality
RR14.35	R2-MJ-14	discordant share of the axis disease pairs (%)	24.7	0.05		pending	03-supp/15_immunity_infection_directionality
RR14.36	R2-MJ-14	Fisher P, axis against the cross-area baseline	0.731	0.005		pending	03-supp/15_immunity_infection_directionality
RR14.37	R2-MJ-14	lead_vPS-bin-matched cross-area discordant share (%)	25.9	0.05		pending	03-supp/15_immunity_infection_directionality
RR14.38	R2-MJ-14	gated pair discordant share excluding COVID-19 (%)	20.0	0.05		pending	03-supp/15_immunity_infection_directionality
RR14.39	R2-MJ-14	axis disease-pair discordant share excluding COVID-19 (%)	15.5	0.05		pending	03-supp/15_immunity_infection_directionality
RR14.40	R2-MJ-14	IL23R 1_67131436_G_A gated lead_vPS	2	0		pending	03-supp/15_immunity_infection_directionality
RR14.41	R2-MJ-14	IL23R 1_67131436_G_A gated concordance	0.5	5e-05		pending	03-supp/15_immunity_infection_directionality
RR14.42	R2-MJ-14	CCDC88B 11_64340263_G_A gated lead_vPS	8	0		pending	03-supp/15_immunity_infection_directionality
RR14.43	R2-MJ-14	CCDC88B 11_64340263_G_A gated concordance	0.625	5e-05		pending	03-supp/15_immunity_infection_directionality
RR14.44	R2-MJ-14	TYK2 19_10355447_C_T gated lead_vPS	2	0		pending	03-supp/15_immunity_infection_directionality
